sample_ID,tank,weight_mg,n_ug,n15,c_ug,c13
1,1,2.6729,20.5,9.4,903.8,-27.1
2,1,2.6404,25.8,8.9,867.6,-23.4
3,1,2.7114,20.7,8.8,888.4,-24.4
4,2,2.5764,21.5,8.3,873,-26.7
5,2,2.6582,27.7,8.7,838.8,-25.2
6,2,2.553,20.5,8.8,849.4,-26.7
7,3,2.6445,23.9,9.2,920.1,-24.7
8,3,2.5426,24.7,9.5,873.9,-19.6
9,3,2.555,17.2,8.4,863.7,-26
10,4,2.5129,19.9,9.3,853.7,-26
11,4,2.5988,22.5,9.1,881.6,-26.9
12,4,2.7181,21.6,9.2,940.8,-25.7
13,5,2.6367,27.2,9.5,893.6,-23
14,5,2.5239,23.6,8.9,813.6,-23.5
15,5,2.5441,25.3,9.9,881.7,-24.9
16,6,2.618,24.4,9.8,928.5,-24.3
17,6,2.5224,24.5,9.3,868.8,-24.5
18,6,2.7147,27.7,9,887.7,-24.5
19,7,2.6009,21.6,8.7,916,-26.1
20,7,2.5829,25.6,9.9,887,-20.7
21,7,2.5591,25.2,9.3,881.4,-23.3
22,8,2.504,23.1,9.9,949.6,-23.4
23,8,2.6246,26.2,10.3,933.7,-22.5
24,8,2.5198,29.6,10.8,915.8,-23
25,9,2.6739,23.9,9.3,911.8,-21.8
26,9,2.5111,31.4,9.5,834.4,-21.2
27,9,2.574,23.4,9,878.1,-25
28,10,2.63,21,8.8,881.4,-25.7
29,10,2.5623,19.9,8.7,810,-24.7
30,10,2.6871,25.8,9.3,911.1,-23.2
31,11,2.6716,23.2,8.9,875,-23.3
32,11,2.5379,22.5,9.1,864.8,-24.3
33,11,2.5582,25.4,8.4,831.7,-23.9
34,12,2.526,23.2,8.9,851.3,-27.2
35,12,2.6082,26.7,9.2,892.3,-23.1
36,12,2.6083,22.1,8.8,870.9,-28.7
37,13,2.6207,21.1,7.8,871.4,-25.5
38,13,2.6317,24.2,9.2,906.4,-22.1
39,13,2.5804,26.6,7.9,845.2,-25.3
40,14,2.6999,23.8,8.9,906.9,-24.3
41,14,2.6261,24.6,9.5,909.6,-23.5
42,14,2.5872,20.5,8.5,886,-24.4
43,15,2.5743,32,9.6,885.4,-21.8
44,15,2.5909,24.8,9.5,892.8,-24.1
45,15,2.5659,30.7,8.2,860.4,-23.8
46,17,2.5031,23,9.1,852.8,-23.8
47,17,2.6745,27.2,9.3,919.3,-24.9
48,17,2.5817,22.2,9,832.8,-22.6
49,18,2.639,24.3,9.3,892.2,-24.8
50,18,2.527,25.8,9.1,840.6,-24.5
51,18,2.5591,22.5,8.1,908.2,-22.4
52,19,2.5353,20.1,9.1,838.2,-23.2
53,19,2.5162,22.1,8.9,861.5,-24.9
54,19,2.5464,26.6,9.7,908.7,-20.3
