run,Species,tank,pH_treatment,temp_treatment,Date,FileName,Light_Dark,chamber.channel,ID,BLANK,notes,start.time,stop.time,volume,AFDW
0,Rockweed,PI,8,16,20240617,RW_PI_16_Blank_20240617_O2,Light,,Blank,1,,14:33,14:54,650,
0,Rockweed,PI,8,16,20240617,RW_PI_16_6_20240617_O2,Light,,6,0,,14:33,14:54,646,1.2245
0,Rockweed,PI,8,16,20240617,RW_PI_16_5_20240617_O2,Light,,5,0,,14:33,14:54,648,0.4002
0,Rockweed,PI,8,16,20240617,RW_PI_16_4_20240617_O2,Light,,4,0,,14:33,14:54,648,0.9014
0,Rockweed,PI,8,16,20240617,RW_PI_16_3_20240617_O2,Light,,3,0,,14:33,14:54,646,1.2589
0,Rockweed,PI,8,16,20240617,RW_PI_16_2_20240617_O2,Light,,2,0,,14:33,14:54,646,1.4595
0,Rockweed,PI,8,16,20240617,RW_PI_16_1_20240617_O2,Light,,1,0,,14:33,14:54,648,1.1605
100,Rockweed,PI,8,16,20240617,RW_PI_16_Blank_20240617_O2,Light,,Blank,1,,14:54,15:05,650,
100,Rockweed,PI,8,16,20240617,RW_PI_16_6_20240617_O2,Light,,6,0,,14:54,15:05,646,1.2245
100,Rockweed,PI,8,16,20240617,RW_PI_16_5_20240617_O2,Light,,5,0,,14:54,15:05,648,0.4002
100,Rockweed,PI,8,16,20240617,RW_PI_16_4_20240617_O2,Light,,4,0,,14:54,15:05,648,0.9014
100,Rockweed,PI,8,16,20240617,RW_PI_16_3_20240617_O2,Light,,3,0,,14:54,15:05,646,1.2589
100,Rockweed,PI,8,16,20240617,RW_PI_16_2_20240617_O2,Light,,2,0,,14:54,15:05,646,1.4595
100,Rockweed,PI,8,16,20240617,RW_PI_16_1_20240617_O2,Light,,1,0,,14:54,15:05,648,1.1605
150,Rockweed,PI,8,16,20240617,RW_PI_16_Blank_20240617_O2,Light,,Blank,1,,15:05,15:15,650,
150,Rockweed,PI,8,16,20240617,RW_PI_16_6_20240617_O2,Light,,6,0,,15:05,15:15,646,1.2245
150,Rockweed,PI,8,16,20240617,RW_PI_16_5_20240617_O2,Light,,5,0,,15:05,15:15,648,0.4002
150,Rockweed,PI,8,16,20240617,RW_PI_16_4_20240617_O2,Light,,4,0,,15:05,15:15,648,0.9014
150,Rockweed,PI,8,16,20240617,RW_PI_16_3_20240617_O2,Light,,3,0,,15:05,15:15,646,1.2589
150,Rockweed,PI,8,16,20240617,RW_PI_16_2_20240617_O2,Light,,2,0,,15:05,15:15,646,1.4595
150,Rockweed,PI,8,16,20240617,RW_PI_16_1_20240617_O2,Light,,1,0,,15:05,15:15,648,1.1605
200,Rockweed,PI,8,16,20240617,RW_PI_16_Blank_20240617_O2,Light,,Blank,1,,15:15,15:25,650,
200,Rockweed,PI,8,16,20240617,RW_PI_16_6_20240617_O2,Light,,6,0,,15:15,15:25,646,1.2245
200,Rockweed,PI,8,16,20240617,RW_PI_16_5_20240617_O2,Light,,5,0,,15:15,15:25,648,0.4002
200,Rockweed,PI,8,16,20240617,RW_PI_16_4_20240617_O2,Light,,4,0,,15:15,15:25,648,0.9014
200,Rockweed,PI,8,16,20240617,RW_PI_16_3_20240617_O2,Light,,3,0,,15:15,15:25,646,1.2589
200,Rockweed,PI,8,16,20240617,RW_PI_16_2_20240617_O2,Light,,2,0,,15:15,15:25,646,1.4595
200,Rockweed,PI,8,16,20240617,RW_PI_16_1_20240617_O2,Light,,1,0,,15:15,15:25,648,1.1605
260,Rockweed,PI,8,16,20240617,RW_PI_16_Blank_20240617_O2,Light,,Blank,1,,15:25,15:35,650,
260,Rockweed,PI,8,16,20240617,RW_PI_16_6_20240617_O2,Light,,6,0,,15:25,15:35,646,1.2245
260,Rockweed,PI,8,16,20240617,RW_PI_16_5_20240617_O2,Light,,5,0,,15:25,15:35,648,0.4002
260,Rockweed,PI,8,16,20240617,RW_PI_16_4_20240617_O2,Light,,4,0,,15:25,15:35,648,0.9014
260,Rockweed,PI,8,16,20240617,RW_PI_16_3_20240617_O2,Light,,3,0,,15:25,15:35,646,1.2589
260,Rockweed,PI,8,16,20240617,RW_PI_16_2_20240617_O2,Light,,2,0,,15:25,15:35,646,1.4595
260,Rockweed,PI,8,16,20240617,RW_PI_16_1_20240617_O2,Light,,1,0,,15:25,15:35,648,1.1605
350,Rockweed,PI,8,16,20240617,RW_PI_16_Blank_20240617_O2,Light,,Blank,1,,15:35,15:45,650,
