block,Species,tank,pH_treatment,temp_treatment,Date,FileName,Light_Dark,chamber.channel,ID,BLANK,notes,start.time,stop.time,volume,AFDW,wet_weight,TA.start,TA.stop
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_13_Dark_20240612_O2,Dark,,13,0,,6:25:00,6:46:00,645,,2.8688,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_14_Dark_20240612_O2,Dark,,14,0,,6:25:00,6:46:00,647,,2.3923,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_15_Dark_20240612_O2,Dark,,15,0,,6:25:00,6:46:00,648.5,,2.0038,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_16_Dark_20240612_O2,Dark,,16,0,,6:25:00,6:46:00,649,,2.5041,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_17_Dark_20240612_O2,Dark,,17,0,,6:25:00,6:46:00,647.5,,3.2762,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_18_Dark_20240612_O2,Dark,,18,0,,6:25:00,6:46:00,647,,2.84,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_Blank_Dark_20240612_O2,Dark,,Blank,1,,6:25:00,6:46:00,650,,0,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_13_Light_20240612_O2,Light,,13,0,,7:07,7:28,645,,2.8688,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_14_Light_20240612_O2,Light,,14,0,,7:07,7:28,647,,2.3923,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_15_Light_20240612_O2,Light,,15,0,,7:07,7:28,648.5,,2.0038,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_16_Light_20240612_O2,Light,,16,0,,7:07,7:28,649,,2.5041,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_17_Light_20240612_O2,Light,,17,0,,7:07,7:28,647.5,,3.2762,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_18_Light_20240612_O2,Light,,18,0,,7:07,7:28,647,,2.84,,
S1,Rockweed,3,7.2,20,6/12/2024,RW_T3_Blank_Light_20240612_O2,Light,,Blank,1,,7:07,7:28,650,,0,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_19_Dark_20240612_O2,Dark,,19,0,,8:01,8:22,646,,3.4853,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_20_Dark_20240612_O2,Dark,,20,0,,8:01,8:22,646,,4.1581,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_21_Dark_20240612_O2,Dark,,21,0,,8:01,8:22,649,,2.2441,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_22_Dark_20240612_O2,Dark,,22,0,,8:01,8:22,648.5,,2.2131,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_23_Dark_20240612_O2,Dark,,23,0,,8:01,8:22,648,,3.0684,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_24_Dark_20240612_O2,Dark,,24,0,,8:01,8:22,648.25,,2.1738,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_Blank_Dark_20240612_O2,Dark,,Blank,1,,8:01,8:22,650,,0,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_19_Light_20240612_O2,Light,,19,0,,8:45,9:07,646,,3.4853,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_20_Light_20240612_O2,Light,,20,0,,8:45,9:07,646,,4.1581,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_21_Light_20240612_O2,Light,,21,0,,8:45,9:07,649,,2.2441,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_22_Light_20240612_O2,Light,,22,0,,8:45,9:07,648.5,,2.2131,,
S2,Rockweed,4,7.6,20,6/12/2024,RW_T4_23_Light_20240612_O2,Light,,23,0,,8:45,9:07,648,,3.0684,,
