block,Species,tank,pH_treatment,temp_treatment,Date,FileName,Light_Dark,chamber.channel,ID,BLANK,notes,start.time,stop.time,volume,AFDW,wet_weight,TA.start,TA.stop
S2,Tegula,1,7.6,20,20240819,T1_TShell_20240819_O2,Dark,,,0,,17:30,18:33,115,,,17:20,18:35
S2,Tegula,1,7.6,20,20240819,T1_Blank_20240819_O2,Dark,,,1,,17:30,18:33,115,,,17:20,18:35
S4,Tegula,2,7.4,16,20240818,T2_TShell_20240818_O2,Dark,,,0,,9:41,10:52,115,,,9:30,10:55
S4,Tegula,2,7.4,16,20240818,T2_Blank_20240818_O2,Dark,,,1,,9:41,10:52,115,,,9:30,10:55
S2,Tegula,3,7.8,20,20240819,T3_TShell_20240819_O2,Dark,,,0,,17:30,18:33,115,,,17:20,18:35
S2,Tegula,3,7.8,20,20240819,T3_Blank_20240819_O2,Dark,,,1,,17:30,18:33,115,,,17:20,18:35
S4,Tegula,4,7.3,16,20240818,T4_TShell_20240818_O2,Dark,,,0,,9:41,10:52,115,,,9:30,10:55
S4,Tegula,4,7.3,16,20240818,T4_Blank_20240818_O2,Dark,,,1,,9:41,10:52,115,,,9:30,10:55
S4,Tegula,5,7.7,16,20240818,T5_TShell_20240818_O2,Dark,,,0,,9:41,10:52,115,,,9:30,10:55
S4,Tegula,5,7.7,16,20240818,T5_Blank_20240818_O2,Dark,,,1,,9:41,10:52,115,,,9:30,10:55
S4,Tegula,6,7.9,16,20240818,T6_TShell_20240818_O2,Dark,,,0,,9:41,10:52,115,,,9:30,10:55
S4,Tegula,6,7.9,16,20240818,T6_Blank_20240818_O2,Dark,,,1,,9:41,10:52,115,,,9:30,10:55
S4,Tegula,7,7.5,16,20240818,T7_TShell_20240818_O2,Dark,,,0,,9:41,10:52,115,,,9:30,10:55
S4,Tegula,7,7.5,16,20240818,T7_Blank_20240818_O2,Dark,,,1,,9:41,10:52,115,,,9:30,10:55
S3,Tegula,8,7.6,16,20240818,T8_Blank_20240818_O2,Dark,,,1,,11:33,12:35,115,,,11:25,12:40
S3,Tegula,8,7.6,16,20240818,T8_TShell_20240818_O2,Dark,,,0,,11:33,12:35,115,,,11:25,12:40
S3,Tegula,9,7.2,16,20240818,T9_Blank_20240818_O2,Dark,,,1,,11:33,12:35,115,,,11:25,12:40
S3,Tegula,9,7.2,16,20240818,T9_TShell_20240818_O2,Dark,,,0,,11:33,12:35,115,,,11:25,12:40
S3,Tegula,10,7.8,16,20240818,T10_Blank_20240818_O2,Dark,,,1,,11:33,12:35,115,,,11:25,12:40
S3,Tegula,10,7.8,16,20240818,T10_TShell_20240818_O2,Dark,,,0,,11:33,12:35,115,,,11:25,12:40
S2,Tegula,11,7.5,20,20240819,T11_TShell_20240819_O2,Dark,,,0,,17:30,18:33,115,,,17:20,18:35
S2,Tegula,11,7.5,20,20240819,T11_Blank_20240819_O2,Dark,,,1,,17:30,18:33,115,,,17:20,18:35
S2,Tegula,12,7.4,20,20240819,T12_TShell_20240819_O2,Dark,,,0,,17:30,18:33,115,,,17:20,18:35
S2,Tegula,12,7.4,20,20240819,T12_Blank_20240819_O2,Dark,,,1,,17:30,18:33,115,,,17:20,18:35
S3,Tegula,13,8,16,20240818,T13_Blank_20240818_O2,Dark,,,1,,11:33,12:35,115,,,11:25,12:40
S3,Tegula,13,8,16,20240818,T13_TShell_20240818_O2,Dark,,,0,,11:33,12:35,115,,,11:25,12:40
S2,Tegula,14,7.2,20,20240819,T14_TShell_20240819_O2,Dark,,,0,,17:30,18:33,115,,,17:20,18:35
S2,Tegula,14,7.2,20,20240819,T14_Blank_20240819_O2,Dark,,,1,,17:30,18:33,115,,,17:20,18:35
S1,Tegula,15,7.7,20,20240819,T15_TShell_20240819_O2,Dark,,,0,,19:03,20:05,115,,,18:55,20:08
S1,Tegula,15,7.7,20,20240819,T15_Blank_20240819_O2,Dark,,,1,,19:03,20:05,115,,,18:55,20:08
S1,Tegula,17,7.9,20,20240819,T17_TShell_20240819_O2,Dark,,,0,,19:03,20:05,115,,,18:55,20:08
S1,Tegula,17,7.9,20,20240819,T17_Blank_20240819_O2,Dark,,,1,,19:03,20:05,115,,,18:55,20:08
S1,Tegula,18,7.3,20,20240819,T18_TShell_20240819_O2,Dark,,,0,,19:03,20:05,115,,,18:55,20:08
S1,Tegula,18,7.3,20,20240819,T18_Blank_20240819_O2,Dark,,,1,,19:03,20:05,115,,,18:55,20:08
S1,Tegula,19,8,20,20240819,T19_TShell_20240819_O2,Dark,,,0,,19:03,20:05,115,,,18:55,20:08
S1,Tegula,19,8,20,20240819,T19_Blank_20240819_O2,Dark,,,1,,19:03,20:05,115,,,18:55,20:08
