block,Species,pH_Treatment,Temp_Treatment,ID,AFDW,Respiration,Light
S1,Rockweed,NA,NA,1,1,NA,NA
S1,Rockweed,NA,NA,2,1,NA,NA
S1,Rockweed,NA,NA,3,1,NA,NA
S1,Rockweed,NA,NA,4,1,NA,NA
S1,Rockweed,NA,NA,5,1,NA,NA
S1,Rockweed,NA,NA,6,1,NA,NA
S10,Rockweed,NA,NA,1,1,NA,NA
S10,Rockweed,NA,NA,2,1,NA,NA
S10,Rockweed,NA,NA,3,1,NA,NA
S10,Rockweed,NA,NA,4,1,NA,NA
S10,Rockweed,NA,NA,5,1,NA,NA
S10,Rockweed,NA,NA,6,1,NA,NA
S3,Rockweed,NA,NA,4,1,NA,NA
S3,Rockweed,NA,NA,5,1,NA,NA
S3,Rockweed,NA,NA,6,1,NA,NA
S3,Rockweed,NA,NA,1,1,NA,NA
S3,Rockweed,NA,NA,2,1,NA,NA
S3,Rockweed,NA,NA,3,1,NA,NA
S4,Rockweed,NA,NA,4,1,NA,NA
S4,Rockweed,NA,NA,5,1,NA,NA
S4,Rockweed,NA,NA,6,1,NA,NA
S4,Rockweed,NA,NA,1,1,NA,NA
S4,Rockweed,NA,NA,2,1,NA,NA
S4,Rockweed,NA,NA,3,1,NA,NA
S5,Rockweed,NA,NA,1,1,NA,NA
S5,Rockweed,NA,NA,2,1,NA,NA
S5,Rockweed,NA,NA,3,1,NA,NA
S5,Rockweed,NA,NA,4,1,NA,NA
S5,Rockweed,NA,NA,5,1,NA,NA
S5,Rockweed,NA,NA,6,1,NA,NA
S6,Rockweed,NA,NA,1,1,NA,NA
S6,Rockweed,NA,NA,2,1,NA,NA
S6,Rockweed,NA,NA,3,1,NA,NA
S6,Rockweed,NA,NA,4,1,NA,NA
S6,Rockweed,NA,NA,5,1,NA,NA
S6,Rockweed,NA,NA,6,1,NA,NA
S7,Rockweed,NA,NA,1,1,NA,NA
S7,Rockweed,NA,NA,2,1,NA,NA
S7,Rockweed,NA,NA,3,1,NA,NA
S7,Rockweed,NA,NA,4,1,NA,NA
S7,Rockweed,NA,NA,5,1,NA,NA
S7,Rockweed,NA,NA,6,1,NA,NA
S8,Rockweed,NA,NA,1,1,NA,NA
S8,Rockweed,NA,NA,2,1,NA,NA
S8,Rockweed,NA,NA,3,1,NA,NA
S8,Rockweed,NA,NA,4,1,NA,NA
S8,Rockweed,NA,NA,5,1,NA,NA
S8,Rockweed,NA,NA,6,1,NA,NA
S9,Rockweed,NA,NA,1,1,NA,NA
S9,Rockweed,NA,NA,2,1,NA,NA
S9,Rockweed,NA,NA,3,1,NA,NA
S9,Rockweed,NA,NA,4,1,NA,NA
S9,Rockweed,NA,NA,5,1,NA,NA
S9,Rockweed,NA,NA,6,1,NA,NA
S2,Rockweed,NA,NA,1,1,NA,NA
S2,Rockweed,NA,NA,2,1,NA,NA
S2,Rockweed,NA,NA,3,1,NA,NA
S2,Rockweed,NA,NA,4,1,NA,NA
S2,Rockweed,NA,NA,5,1,NA,NA
S2,Rockweed,NA,NA,6,1,NA,NA
