block,Species,pH_treatment,temp_treatment,ID,wet_weight,Respiration,Light
S1,Rockweed,7.2,20,1,2.551,2.883651397344577,13.057018976392433
S1,Rockweed,7.2,20,2,1.5503,3.7128254437056434,8.393001289880843
S1,Rockweed,7.2,20,3,2.546,5.0671364891135955,14.91361875989912
S1,Rockweed,7.2,20,4,2.6324,2.771757776259776,10.130709113854493
S1,Rockweed,7.2,20,5,2.7575,2.691178144657767,8.656358731794379
S1,Rockweed,7.2,20,6,2.6057,3.8442046964178513,6.654250030925338
S10,Rockweed,7.5,16,55,3.3636,2.8951774137814863,15.135362766581878
S10,Rockweed,7.5,16,56,3.2903,3.6650282215690306,5.410288658221013
S10,Rockweed,7.5,16,57,2.3609,3.628425233190198,12.2361267102127
S10,Rockweed,7.5,16,58,2.6948,3.9239014328682926,14.27411434896749
S10,Rockweed,7.5,16,59,2.4682,6.709802609623897,10.870371708832984
S10,Rockweed,7.5,16,60,2.1461,4.843246240316702,12.556620803511203
S11,Rockweed,7.6,20,61,2.5581,5.443261872792993,8.414841672982698
S11,Rockweed,7.6,20,62,2.941,4.166638694280564,4.575088022428822
S11,Rockweed,7.6,20,63,3.2374,5.373634657155899,23.08031385777417
S11,Rockweed,7.6,20,64,3.153,2.770795681931656,20.920527579039263
S11,Rockweed,7.6,20,65,3.1623,5.164832697199187,17.1442625465235
S11,Rockweed,7.6,20,66,2.7303,5.126475179477032,-5.126888041091213
S12,Rockweed,7.2,16,67,3.2255,3.748773451693922,9.755067297707795
S12,Rockweed,7.2,16,68,3.2647,3.2183318561446415,5.333751494941943
S12,Rockweed,7.2,16,69,2.8302,4.096235055029683,12.509879987391184
S12,Rockweed,7.2,16,70,2.6975,6.954897520383475,20.62825418499993
S12,Rockweed,7.2,16,71,3.551,6.182741827747322,10.897366580452083
S12,Rockweed,7.2,16,72,1.6463,6.285198453359028,21.924066946897874
S13,Rockweed,8,20,73,3.1231,5.6551674828881815,10.268870120884872
S13,Rockweed,8,20,74,3.2797,7.110760353803396,8.46216271441676
S13,Rockweed,8,20,75,4.1275,7.076989476629115,10.91306096138746
S13,Rockweed,8,20,76,3.2155,8.418316074838996,25.024424735833357
S13,Rockweed,8,20,77,3.059,6.764778936649931,11.678459059262405
S13,Rockweed,8,20,78,2.6386,5.3574911263565035,14.372277368271089
S14,Rockweed,7.8,16,79,3.3104,4.35591919551073,18.929543218193608
S14,Rockweed,7.8,16,80,3.3033,4.3792943765621475,9.049661768494328
S14,Rockweed,7.8,16,81,3.5405,3.4221252018228743,19.879428298379818
S14,Rockweed,7.8,16,82,2.7971,4.088238479475214,14.793590919601916
S14,Rockweed,7.8,16,83,4.0425,3.336093551912956,10.418073916932391
S14,Rockweed,7.8,16,84,3.674,3.937576547210876,12.969542136851244
S15,Rockweed,7.9,16,85,3.434,3.587347474126547,12.22136424257491
S15,Rockweed,7.9,16,86,4.3511,4.857058306182552,11.879800351607235
S15,Rockweed,7.9,16,87,3.6467,4.129111200747068,25.145732943528753
S15,Rockweed,7.9,16,88,2.1995,5.8436222995385565,17.506489080406098
S15,Rockweed,7.9,16,89,3.6195,3.2546482021825733,14.358920979394245
S15,Rockweed,7.9,16,90,4.0075,2.484014209389616,23.411820655113978
S16,Rockweed,7.4,16,44,2.4338,NA,10.434473340079697
S17,Rockweed,7.8,20,91,2.92,4.586627899817355,18.029757527954313
S17,Rockweed,7.8,20,92,3.1998,4.492257370262033,19.50960984005112
S17,Rockweed,7.8,20,93,3.2273,3.490932429933418,30.285090489296334
S17,Rockweed,7.8,20,94,2.867,4.651243297458845,15.905418478036053
S17,Rockweed,7.8,20,95,3.2315,3.9518424521577757,11.950496035141217
S17,Rockweed,7.8,20,96,3.3786,4.65806533845731,15.183393134860014
S18,Rockweed,8,16,100,2.9928,3.089474227583019,20.744749440792575
S18,Rockweed,8,16,101,3.8461,2.8635598779591307,8.458574093434926
S18,Rockweed,8,16,102,2.9943,3.503754851799216,9.209102302050345
S18,Rockweed,8,16,97,2.6123,2.9112502681413095,14.758886667326273
S18,Rockweed,8,16,98,2.7263,3.185968059237855,7.42138559939679
S18,Rockweed,8,16,99,3.1062,3.569246266098734,19.45113835280231
S19,Rockweed,7.9,20,103,4.3715,8.790225888917895,9.439622426738186
S19,Rockweed,7.9,20,104,2.93,7.314212036005385,6.634499889803688
S19,Rockweed,7.9,20,105,3.5433,6.755175081698574,14.100764139716473
S19,Rockweed,7.9,20,106,3.8225,5.24568631510684,19.411562761085584
S19,Rockweed,7.9,20,107,3.218,4.583211443704123,3.3753747533531273
S19,Rockweed,7.9,20,108,3.5755,4.93976167784126,5.235359800999785
S2,Rockweed,7.4,20,10,1.9323,4.696732315222449,13.013411172654369
S2,Rockweed,7.4,20,11,2.9722,2.9528456632194944,6.634626004718843
S2,Rockweed,7.4,20,12,2.6747,3.6340065477412833,15.67946905779981
S2,Rockweed,7.4,20,7,2.8139,3.0978974461916944,15.432653578474076
S2,Rockweed,7.4,20,8,2.7064,3.6971109737587873,8.805597761145293
S2,Rockweed,7.4,20,9,3.3606,3.707607894396539,24.60360636007572
S3,Rockweed,7.7,16,13,2.406,4.488577425199864,13.773187495347928
S3,Rockweed,7.7,16,14,2.8902,3.80374486615698,8.007036195009725
S3,Rockweed,7.7,16,15,2.6644,5.251462324525873,7.883027900511264
S3,Rockweed,7.7,16,16,2.7143,2.9414850391398706,16.113450701981897
S3,Rockweed,7.7,16,17,2.5992,3.597295686054464,12.706432315311947
S3,Rockweed,7.7,16,18,2.3613,3.8088639637692836,6.5147671455325735
S38,Tegula,7.4,16,13,2.8554,0.5918869160244324,NA
S38,Tegula,7.4,16,25,1.681,0.5727737934429482,NA
S38,Tegula,7.4,16,43,2.3822,0.7123091628039625,NA
S38,Tegula,8,16,8,2.1306,0.3222656518599724,NA
S38,Tegula,8,16,11,2.1805,0.4276384447708026,NA
S38,Tegula,8,16,37,2.022,0.4465524139221082,NA
S39,Tegula,7.3,16,7,1.9467,-0.020324953412659844,NA
S39,Tegula,7.3,16,30,2.2574,0.6027102889429271,NA
S39,Tegula,7.3,16,73,2.1169,0.5496855465912401,NA
S39,Tegula,7.7,16,2,2.5047,0.3923282796540189,NA
S39,Tegula,7.7,16,61,1.0905,1.247254461076207,NA
S39,Tegula,7.7,16,71,2.2174,0.31216317477570793,NA
S4,Rockweed,7.3,20,19,2.9608,2.6675829187281446,6.7762557272517565
S4,Rockweed,7.3,20,20,2.4314,5.271877644045916,12.108489404164432
S4,Rockweed,7.3,20,21,3.1288,1.9069659099412903,9.213391504297277
