block,experiment,Species,pH_treatment,temp_treatment,ID,wet_weight,Respiration,Light
S1,1,Rockweed,7.2,20,1,2.551,3.304610999,12.75309938
S1,1,Rockweed,7.2,20,2,1.5503,4.405510011,7.892905355
S1,1,Rockweed,7.2,20,3,2.546,5.488922624,14.60910229
S1,1,Rockweed,7.2,20,4,2.6324,3.179700148,9.836186874
S1,1,Rockweed,7.2,20,5,2.7575,3.080613724,8.375198262
S1,1,Rockweed,7.2,20,6,2.6057,4.256327589,6.356710068
S10,1,Rockweed,7.5,16,55,3.3636,2.863375899,15.14787824
S10,1,Rockweed,7.5,16,56,3.2903,3.632518126,5.42308329
S10,1,Rockweed,7.5,16,57,2.3609,3.583116813,12.25395795
S10,1,Rockweed,7.5,16,58,2.6948,3.884207779,14.28973603
S10,1,Rockweed,7.5,16,59,2.4682,6.666464773,10.88742802
S10,1,Rockweed,7.5,16,60,2.1461,4.79340305,12.57623704
S101,2,Rockweed,7.2,20,13,2.8688,4.04864557,31.18719856
S101,2,Rockweed,7.2,20,14,2.3923,4.512509593,16.88942294
S101,2,Rockweed,7.2,20,15,2.0038,4.026744349,18.24822557
S101,2,Rockweed,7.2,20,16,2.5041,2.700399713,20.83914705
S101,2,Rockweed,7.2,20,17,3.2762,4.254457897,31.00176627
S101,2,Rockweed,7.2,20,18,2.84,3.508630852,23.79493719
S102,2,Rockweed,7.6,20,19,3.4853,5.257362997,17.11506581
S102,2,Rockweed,7.6,20,20,4.1581,4.773978708,22.28432276
S102,2,Rockweed,7.6,20,21,2.2441,5.103255807,35.90852363
S102,2,Rockweed,7.6,20,22,2.2131,4.10174988,12.40206086
S102,2,Rockweed,7.6,20,23,3.0684,3.882477419,21.98206701
S102,2,Rockweed,7.6,20,24,2.1738,2.719413106,20.86068225
S103,2,Rockweed,7.7,16,31,2.4226,4.739598388,8.141653956
S103,2,Rockweed,7.7,16,32,2.6179,3.457118567,8.338203129
S103,2,Rockweed,7.7,16,33,2.7673,3.134649646,14.92184785
S103,2,Rockweed,7.7,16,34,1.2338,3.431027925,24.86341695
S103,2,Rockweed,7.7,16,35,2.3788,3.946775984,12.65836174
S103,2,Rockweed,7.7,16,36,3.3751,4.203212106,33.47323864
S104,2,Rockweed,7.9,20,37,2.4538,3.608265816,15.76381538
S104,2,Rockweed,7.9,20,38,1.3133,5.17333968,13.35059684
S104,2,Rockweed,7.9,20,39,2.4458,3.260863903,16.18407614
S104,2,Rockweed,7.9,20,40,1.6814,3.862168351,20.58242429
S104,2,Rockweed,7.9,20,41,2.1937,4.121170768,15.91741749
S104,2,Rockweed,7.9,20,42,2.4368,3.933912788,22.06398964
