block,Species,pH_treatment,temp_treatment,ID,wet_weight,Respiration,Light
S1,Rockweed,7.2,20,1,2.551,2.883651397344577,13.057018976392433
S1,Rockweed,7.2,20,2,1.5503,3.7128254437056434,8.393001289880843
S1,Rockweed,7.2,20,3,2.546,5.0671364891135955,14.91361875989912
S1,Rockweed,7.2,20,4,2.6324,2.771757776259776,10.130709113854493
S1,Rockweed,7.2,20,5,2.7575,2.691178144657767,8.656358731794379
S1,Rockweed,7.2,20,6,2.6057,3.8442046964178513,6.654250030925338
S10,Rockweed,7.5,16,55,3.3636,2.8951774137814863,15.135362766581878
S10,Rockweed,7.5,16,56,3.2903,3.6650282215690306,5.410288658221013
S10,Rockweed,7.5,16,57,2.3609,3.628425233190198,12.2361267102127
S10,Rockweed,7.5,16,58,2.6948,3.9239014328682926,14.27411434896749
S10,Rockweed,7.5,16,59,2.4682,6.709802609623897,10.870371708832984
S10,Rockweed,7.5,16,60,2.1461,4.843246240316702,12.556620803511203
S101,Rockweed,7.2,20,13,2.8688,4.086348003007678,31.36532347616443
S101,Rockweed,7.2,20,14,2.3923,4.557721658928622,17.103026850413578
S101,Rockweed,7.2,20,15,2.0038,4.080722083411407,18.503243350573424
S101,Rockweed,7.2,20,16,2.5041,2.743592655448624,21.04321414160184
S101,Rockweed,7.2,20,17,3.2762,4.28747219879219,31.157741071531
S101,Rockweed,7.2,20,18,2.84,3.546715746288799,23.97486856917346
S102,Rockweed,7.6,20,19,3.4853,5.375514762901649,17.000370138981115
S102,Rockweed,7.6,20,20,4.1581,4.873013244533068,22.188185630719936
S102,Rockweed,7.6,20,21,2.2441,5.286756334736716,35.730390692418574
S102,Rockweed,7.6,20,22,2.2131,4.287821279472497,12.221432985290086
S102,Rockweed,7.6,20,23,3.0684,4.016682130068105,21.851787969087997
S102,Rockweed,7.6,20,24,2.1738,2.9088486778524714,20.676789045755505
S103,Rockweed,7.7,16,31,2.4226,4.634801747436088,7.884785946926323
S103,Rockweed,7.7,16,32,2.6179,3.360139629450016,8.100497569142759
S103,Rockweed,7.7,16,33,2.7673,3.042906666103612,14.696976185779285
S103,Rockweed,7.7,16,34,1.2338,3.2252564791057634,24.35905054842974
S103,Rockweed,7.7,16,35,2.3788,3.8400494779804704,12.396764230733265
S103,Rockweed,7.7,16,36,3.3751,4.127990333552216,33.28886244267652
S104,Rockweed,7.9,20,37,2.4538,3.7076890169953693,15.813042849165543
S104,Rockweed,7.9,20,38,1.3133,5.359104362119847,13.442575661493896
S104,Rockweed,7.9,20,39,2.4458,3.3606119381098627,16.233465145574034
S104,Rockweed,7.9,20,40,1.6814,4.007264157112541,20.654266668268622
S104,Rockweed,7.9,20,41,2.1937,4.2323816958374705,15.97248192115258
S104,Rockweed,7.9,20,42,2.4368,4.034029852680791,22.113560732108933
S105,Rockweed,7.8,20,43,2.3197,4.562842758467932,13.838749304111232
S105,Rockweed,7.8,20,44,2.9193,3.6012025397817506,14.784129411585424
S105,Rockweed,7.8,20,45,2.707,3.4826366717423785,13.150846874948744
S105,Rockweed,7.8,20,46,2.2623,3.0589616772336976,14.146664027299307
S105,Rockweed,7.8,20,47,1.0322,6.977065676375754,8.137958532592744
S105,Rockweed,7.8,20,48,2.7382,4.713466870593613,33.68443096443194
S106,Rockweed,7.2,16,61,1.8695,2.556213953175658,17.619384479125177
S106,Rockweed,7.2,16,62,2.8174,3.7059787375006508,11.534900002239013
S106,Rockweed,7.2,16,63,1.8745,3.0370883187639826,20.223477985383738
S106,Rockweed,7.2,16,64,3.1291,2.155874191576648,15.954663155604171
S106,Rockweed,7.2,16,65,1.5848,6.56552436233777,14.018707693929406
S106,Rockweed,7.2,16,66,1.8292,3.8312398897908455,26.38938959451084
S107,Rockweed,8,16,91,2.8175,5.570060997470585,11.58936351563871
S107,Rockweed,8,16,92,3.1896,5.409619723702814,12.404987671312504
S107,Rockweed,8,16,93,2.1481,1.0628247279917393,23.371727924006695
S107,Rockweed,8,16,94,2.7165,7.099145740499518,18.60680414081798
S107,Rockweed,8,16,95,3.7815,5.097607138234342,17.76708799888904
S107,Rockweed,8,16,96,2.4619,5.064043156687464,9.076306636209699
S108,Rockweed,7.4,16,1,2.5786,1.4066975187489927,4.319905633157455
S108,Rockweed,7.4,16,2,1.4218,3.279685035500297,8.180462641689054
S108,Rockweed,7.4,16,3,2.874,3.236267728102029,20.427227956032993
S108,Rockweed,7.4,16,4,2.2138,3.473038679717935,30.3895354645735
S108,Rockweed,7.4,16,5,2.6794,3.946863329560623,9.917860372735074
S108,Rockweed,7.4,16,6,1.9033,3.186770960236481,17.540208112011683
S109,Rockweed,7.5,20,49,2.1603,9.345896070826155,19.371107525439395
S109,Rockweed,7.5,20,50,2.0053,12.34516057607272,8.282162690152878
S109,Rockweed,7.5,20,51,2.5507,5.260913228206769,17.44689609634377
S109,Rockweed,7.5,20,52,2.481,5.866432161675876,18.13025078219763
S109,Rockweed,7.5,20,53,1.0819,7.355868781935135,13.215294755732062
S109,Rockweed,7.5,20,54,2.0829,8.261950206501288,25.34272149435567
S11,Rockweed,7.6,20,61,2.5581,5.443261872792993,8.414841672982698
S11,Rockweed,7.6,20,62,2.941,4.166638694280564,4.575088022428822
S11,Rockweed,7.6,20,63,3.2374,5.373634657155899,23.08031385777417
S11,Rockweed,7.6,20,64,3.153,2.770795681931656,20.920527579039263
S11,Rockweed,7.6,20,65,3.1623,5.164832697199187,17.1442625465235
S11,Rockweed,7.6,20,66,2.7303,5.126475179477032,-5.126888041091213
S110,Rockweed,7.8,16,100,2.5452,3.8721031176113314,15.453914062690789
S110,Rockweed,7.8,16,101,2.6985,4.184403167278596,13.655316288570454
S110,Rockweed,7.8,16,102,2.0338,4.218139023540494,19.100385669973047
S110,Rockweed,7.8,16,97,2.4082,2.6373461143374133,15.423699041009979
S110,Rockweed,7.8,16,98,3.3285,1.6031892164972632,16.684900108219626
S110,Rockweed,7.8,16,99,3.7689,2.844354588536153,17.375958450752087
S111,Rockweed,7.4,20,55,2.1878,5.663400039859841,11.804419147497889
S111,Rockweed,7.4,20,56,1.4355,3.972531782926604,8.901824012694536
S111,Rockweed,7.4,20,57,1.9643,4.421229265956528,11.819888963371861
S111,Rockweed,7.4,20,58,2.8569,3.267055836264484,25.23685659124743
S111,Rockweed,7.4,20,59,2.6931,5.140109494500718,21.509161783920327
S111,Rockweed,7.4,20,60,2.5288,3.7887501164204314,9.266690822867744
S112,Rockweed,7.6,16,103,3.3171,4.119521501771293,22.927588320750207
S112,Rockweed,7.6,16,104,2.7834,3.149520895347932,11.67555140643782
