PreSens Measurement Studio 2,4.0.0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
6/15/2024,14:55:35,8,default,660011534,Sensor8,167.83,min,240.653,μmol/L,Humid,21.959,deg,91671,µV,20.114,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222778.91,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:36,8,default,660011534,Sensor8,167.842,min,240.715,μmol/L,Humid,21.954,deg,91629,µV,20.12,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222703.05,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:37,8,default,660011534,Sensor8,167.859,min,240.57,μmol/L,Humid,21.965,deg,91610,µV,20.107,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222666.55,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:38,8,default,660011534,Sensor8,167.876,min,240.612,μmol/L,Humid,21.963,deg,91594,µV,20.107,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222653.75,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:39,8,default,660011534,Sensor8,167.892,min,240.548,μmol/L,Humid,21.966,deg,91597,µV,20.107,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222633.12,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:40,8,default,660011534,Sensor8,167.909,min,240.589,μmol/L,Humid,21.962,deg,91583,µV,20.114,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222630.19,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:41,8,default,660011534,Sensor8,167.926,min,240.568,μmol/L,Humid,21.963,deg,91590,µV,20.114,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222626.94,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:42,8,default,660011534,Sensor8,167.942,min,240.718,μmol/L,Humid,21.96,deg,91590,µV,20.101,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222620.81,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:43,8,default,660011534,Sensor8,167.959,min,240.633,μmol/L,Humid,21.962,deg,91588,µV,20.107,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222616.75,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:44,8,default,660011534,Sensor8,167.978,min,240.506,μmol/L,Humid,21.968,deg,91585,µV,20.107,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222624.02,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:45,8,default,660011534,Sensor8,167.993,min,240.57,μmol/L,Humid,21.965,deg,91578,µV,20.107,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222611.78,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:46,8,default,660011534,Sensor8,168.01,min,240.613,μmol/L,Humid,21.965,deg,91580,µV,20.101,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222598.45,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:47,8,default,660011534,Sensor8,168.026,min,240.55,μmol/L,Humid,21.968,deg,91578,µV,20.101,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222609.04,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:48,8,default,660011534,Sensor8,168.043,min,240.571,μmol/L,Humid,21.967,deg,91586,µV,20.101,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222601.86,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:49,8,default,660011534,Sensor8,168.06,min,240.529,μmol/L,Humid,21.969,deg,91582,µV,20.101,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222602.5,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:50,8,default,660011534,Sensor8,168.076,min,240.529,μmol/L,Humid,21.969,deg,91579,µV,20.101,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222594.25,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:51,8,default,660011534,Sensor8,168.093,min,240.486,μmol/L,Humid,21.971,deg,91578,µV,20.101,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,29.05,0,47.3,222606.42,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,4/26/2024 12:50,0000-00,0,no battery,V,,µV,,µV
