PreSens Measurement Studio 2,4.0.0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
6/15/2024,14:55:34,5,default,589198012,Sensor5,167.822,min,238.252,μmol/L,Humid,22.106,deg,101707,µV,20.016,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,242838.12,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,3/31/2024 12:59,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:35,5,default,589198012,Sensor5,167.842,min,238.231,μmol/L,Humid,22.107,deg,101679,µV,20.016,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,242782.27,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,3/31/2024 12:59,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:36,5,default,589198012,Sensor5,167.859,min,238.273,μmol/L,Humid,22.105,deg,101650,µV,20.016,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,242752.61,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,3/31/2024 12:59,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:37,5,default,589198012,Sensor5,167.876,min,238.356,μmol/L,Humid,22.101,deg,101633,µV,20.016,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,242728.08,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,3/31/2024 12:59,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:38,5,default,589198012,Sensor5,167.893,min,238.335,μmol/L,Humid,22.102,deg,101615,µV,20.016,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,242727.51,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,3/31/2024 12:59,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:39,5,default,589198012,Sensor5,167.909,min,238.272,μmol/L,Humid,22.103,deg,101605,µV,20.023,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,242717.12,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,3/31/2024 12:59,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:40,5,default,589198012,Sensor5,167.925,min,238.316,μmol/L,Humid,22.107,deg,101595,µV,20.004,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,242696.39,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,3/31/2024 12:59,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:41,5,default,589198012,Sensor5,167.942,min,238.357,μmol/L,Humid,22.103,deg,101589,µV,20.01,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,242692.77,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,3/31/2024 12:59,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:42,5,default,589198012,Sensor5,167.959,min,238.378,μmol/L,Humid,22.102,deg,101576,µV,20.01,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,242689.85,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,3/31/2024 12:59,0000-00,0,no battery,V,,µV,,µV
6/15/2024,14:55:43,5,default,589198012,Sensor5,167.975,min,238.357,μmol/L,Humid,22.103,deg,101570,µV,20.01,°C,978,hPa,35,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,35.35,0,67,242681.17,SABD0002000014,AAV2.0.0.13,4.0.0.2353,PSt7-10,000000-000,3/31/2024 12:59,0000-00,0,no battery,V,,µV,,µV
