FileName,Intercept,umol.L.sec,Temp.C,temp.treatment,Intercept.avg,umol.L.sec.avg
RW_T1_Blank_Dark_20240613_O2,246.4802428,-1.90E-04,16.84801639,16,242.5441082,-2.15E-05
RW_T1_Blank_Light_20240613_O2,246.3772652,5.40E-05,16.2845,16,242.5441082,-2.15E-05
RW_T10_B_Dark_20240429_O2,223.2786561,2.42E-05,16.30425287,16,242.5441082,-2.15E-05
RW_T10_B_Light_20240429_O2,223.2579714,-3.51E-06,16.29904545,16,242.5441082,-2.15E-05
RW_T11_Blank_Dark_20240613_O2,258.8566915,-5.01E-04,16.28132203,16,242.5441082,-2.15E-05
RW_T11_Blank_Light_20240613_O2,257.9310067,-1.23E-04,16.29408929,16,242.5441082,-2.15E-05
RW_T12_B_Dark_20240429_O2,258.3152075,6.31E-04,16.19098864,16,242.5441082,-2.15E-05
RW_T12_B_Light_20240429_O2,261.5558847,1.76E-04,16.48304598,16,242.5441082,-2.15E-05
RW_T13_Blank_Dark_20240613_O2,204.5160603,-1.55E-04,16.39870175,16,242.5441082,-2.15E-05
RW_T13_Blank_Light_20240613_O2,202.5526146,3.35E-04,16.63192727,16,242.5441082,-2.15E-05
RW_T14_B_Dark_20240429_O2,220.729597,1.12E-04,16.44221642,16,242.5441082,-2.15E-05
RW_T14_B_Light_20240429_O2,220.4888899,1.62E-04,16.54986047,16,242.5441082,-2.15E-05
RW_T15_B_Dark_20240429_O2,224.2980148,-2.08E-06,16.31345055,16,242.5441082,-2.15E-05
RW_T15_B_Light_20240429_O2,226.4929422,8.65E-06,16.56062222,16,242.5441082,-2.15E-05
RW_T17_Blank_Dark_20240613_O2,225.9905469,1.92E-04,16.656625,16,242.5441082,-2.15E-05
RW_T17_Blank_Light_20240613_O2,230.5547195,-3.98E-04,16.64108929,16,242.5441082,-2.15E-05
RW_T18_B_Dark_20240429_O2,259.7091276,6.82E-05,16.35661364,16,242.5441082,-2.15E-05
RW_T18_B_Light_20240429_O2,258.7507653,-2.79E-05,16.46981609,16,242.5441082,-2.15E-05
RW_T18_Blank_Dark_20240613_O2,256.2806193,-1.93E-04,16.58471429,16,242.5441082,-2.15E-05
RW_T18_Blank_Light_20240613_O2,256.813703,-5.78E-05,16.68660345,16,242.5441082,-2.15E-05
RW_T19_Blank_Dark_20240613_O2,246.0806612,-1.45E-04,16.80773109,16,242.5441082,-2.15E-05
RW_T19_Blank_Light_20240613_O2,246.8384361,-1.07E-04,16.33475,16,242.5441082,-2.15E-05
RW_T2_Blank_Dark_20240613_O2,247.8169036,-7.34E-05,16.13348214,16,242.5441082,-2.15E-05
RW_T2_Blank_Light_20240613_O2,248.570451,-8.45E-05,16.17514035,16,242.5441082,-2.15E-05
