FileName,Intercept,umol.L.sec,Temp.C
RW_PI_16_1_20240617_O2,160.860975,0.022780152,15.58971287
RW_PI_16_2_20240617_O2,138.6940499,0.030469948,15.74471947
RW_PI_16_3_20240617_O2,129.8829872,0.019476569,15.64237624
RW_PI_16_4_20240617_O2,111.4565533,0.046581944,15.85576238
RW_PI_16_5_20240617_O2,201.1937658,0.005765095,15.3670363
RW_PI_16_6_20240617_O2,113.8340724,0.028898508,15.73429703
RW_PI_16_Blank_20240617_O2,188.4388467,-4.25E-04,15.75284158
RW_PI_20_1_20240617_O2,239.1983979,0.001350373,19.34368215
RW_PI_20_2_20240617_O2,233.0260786,0.008669562,19.43213447
RW_PI_20_3_20240617_O2,176.061279,-0.004426837,19.30725917
RW_PI_20_4_20240617_O2,200.6538869,-8.48E-05,19.34231051
RW_PI_20_5_20240617_O2,218.4365103,0.001598082,19.1176088
RW_PI_20_6_20240617_O2,186.6486024,0.005953275,19.28039609
RW_PI_20_Blank_20240617_O2,211.6765069,-7.64E-04,19.29652078
RW_T1_01_Dark_20240613_O2,261.8110051,-0.001745064,17.2592459
RW_T1_01_Light_20240613_O2,265.1176666,0.004829286,16.50116071
RW_T1_02_Dark_20240613_O2,206.9137334,-0.002185684,17.25221311
RW_T1_02_Light_20240613_O2,211.6832173,0.005032285,16.4284386
RW_T1_03_Dark_20240613_O2,199.2719001,-0.004177216,17.2147377
RW_T1_03_Light_20240613_O2,208.4982558,0.025220466,16.55594643
RW_T1_04_Dark_20240613_O2,255.9305499,-0.003491408,17.11590164
RW_T1_04_Light_20240613_O2,264.4289929,0.028938177,16.50712281
RW_T1_05_Dark_20240613_O2,256.5171414,-0.004738047,17.14778689
RW_T1_05_Light_20240613_O2,261.4900083,0.011481065,16.40950877
RW_T1_06_Dark_20240613_O2,222.3544167,-0.002792345,17.08659016
RW_T1_06_Light_20240613_O2,226.340309,0.014376116,16.46545614
RW_T1_1_Dark_20240428_O2,229.3914441,-0.003639389,19.5597931
RW_T1_1_Light_20240428_O2,241.7576512,0.01392029,19.989
RW_T1_2_Dark_20240428_O2,231.8765891,-0.002953432,19.79970115
RW_T1_2_Light_20240428_O2,245.6782968,0.005219679,20.2862907
RW_T1_3_Dark_20240428_O2,231.7858863,-0.006016247,19.85941379
RW_T1_3_Light_20240428_O2,257.9660465,0.015918583,20.14275862
RW_T1_4_Dark_20240428_O2,182.3598794,-0.003613746,19.62736782
RW_T1_4_Light_20240428_O2,195.0116106,0.011073763,20.18098837
RW_T1_5_Dark_20240428_O2,190.5304906,-0.00367849,19.89170115
RW_T1_5_Light_20240428_O2,193.6602549,0.009904844,20.16794186
RW_T1_6_Dark_20240428_O2,238.5839634,-0.004820846,19.74712644
RW_T1_6_Light_20240428_O2,255.1122094,0.007135225,20.1532093
RW_T1_B_Dark_20240428_O2,230.0218881,-4.85E-04,19.55341379
RW_T1_B_Light_20240428_O2,232.6204275,-3.57E-04,19.9767093
RW_T1_Blank_Dark_20240613_O2,246.4802428,-1.90E-04,16.84801639
RW_T1_Blank_Light_20240613_O2,246.3772652,5.40E-05,16.2845
RW_T10_55_Dark_20240429_O2,199.3248102,-0.004163038,16.20713793
RW_T10_55_Dark_20240612_O2,225.6439201,-0.005394619,19.71150909
RW_T10_55_Light_20240429_O2,204.7291772,0.021887295,16.42022727
RW_T10_55_Light_20240612_O2,223.8914062,0.011157883,20.23176786
RW_T10_56_Dark_20240429_O2,205.5325782,-0.005160984,16.29157471
RW_T10_56_Dark_20240612_O2,192.9370203,-0.002511107,19.88421429
RW_T10_56_Light_20240429_O2,203.6447314,0.007651041,16.316875
RW_T10_56_Light_20240612_O2,195.0491257,0.005530535,20.34984211
RW_T10_57_Dark_20240429_O2,243.2903575,-0.003647844,16.14694253
RW_T10_57_Dark_20240612_O2,238.3713809,-0.003801153,19.96148214
RW_T10_57_Light_20240429_O2,245.7212545,0.012379998,16.10260227
RW_T10_57_Light_20240612_O2,243.4977917,0.010036495,20.17719298
RW_T10_58_Dark_20240429_O2,251.593353,-0.004508519,16.31497701
RW_T10_58_Dark_20240612_O2,241.4303496,-0.004064504,19.98125455
RW_T10_58_Light_20240429_O2,254.4242976,0.016485627,16.44070455
RW_T10_58_Light_20240612_O2,253.6103249,0.030935595,20.246
RW_T10_59_Dark_20240429_O2,258.4035888,-0.007074965,16.29596552
RW_T10_59_Dark_20240612_O2,237.1530868,-0.006009861,19.880625
RW_T10_59_Light_20240429_O2,259.190774,0.011497788,16.34073864
RW_T10_59_Light_20240612_O2,244.5958931,0.024922458,20.36729825
RW_T10_60_Dark_20240429_O2,258.0372225,-0.004431341,16.31671264
RW_T10_60_Dark_20240612_O2,186.1425263,-0.004168843,19.9416
RW_T10_60_Light_20240429_O2,255.0945523,0.011548162,16.27049438
RW_T10_60_Light_20240612_O2,188.6255816,0.010086351,20.21069643
RW_T10_B_Dark_20240429_O2,223.2786561,2.42E-05,16.30425287
RW_T10_B_Light_20240429_O2,223.2579714,-3.51E-06,16.29904545
RW_T10_Blank_Dark_20240612_O2,237.2524385,-6.64E-05,19.73703636
RW_T10_Blank_Light_20240612_O2,236.8717816,5.26E-05,20.16158929
RW_T11_61_Dark_20240428_O2,235.8846382,-0.006039492,20.088
RW_T11_61_Dark_20240613_O2,228.4375158,-0.002547437,16.30083051
RW_T11_61_Light_20240428_O2,271.3623696,0.009192076,20.26283516
RW_T11_61_Light_20240613_O2,231.4151478,0.013975617,16.41001786
RW_T11_62_Dark_20240428_O2,202.2235534,-0.005323475,20.17425287
RW_T11_62_Dark_20240613_O2,256.8183103,-0.004978658,16.33783051
RW_T11_62_Light_20240428_O2,204.8160024,0.005732426,20.25024444
RW_T11_62_Light_20240613_O2,260.0502467,0.013808136,16.60642857
RW_T11_63_Dark_20240428_O2,239.306517,-0.007551222,20.0942069
RW_T11_63_Dark_20240613_O2,206.1708578,-0.002943249,16.32338983
RW_T11_63_Light_20240428_O2,250.4492279,0.032093859,20.51778889
RW_T11_63_Light_20240613_O2,208.3693083,0.016127444,16.51855357
RW_T11_64_Dark_20240428_O2,227.3814993,-0.003827329,20.04143678
RW_T11_64_Dark_20240613_O2,212.0949001,-0.003397226,16.43561017
RW_T11_64_Light_20240428_O2,238.1870728,0.028328041,20.09323333
RW_T11_64_Light_20240613_O2,215.909036,0.021294264,16.42021429
RW_T11_65_Dark_20240428_O2,231.0426564,-0.007093769,20.06629885
RW_T11_65_Dark_20240613_O2,263.7749213,-0.004959321,16.26613559
RW_T11_65_Light_20240428_O2,240.0376404,0.023276819,20.15316484
RW_T11_65_Light_20240613_O2,265.4299003,0.009393489,16.418625
RW_T11_66_Dark_20240428_O2,237.6590597,-0.006089325,20.21149425
RW_T11_66_Dark_20240613_O2,247.6616217,-0.003506984,16.20220339
RW_T11_66_Light_20240428_O2,243.6731509,-0.006054641,21.42230769
RW_T11_66_Light_20240613_O2,251.0882004,0.020569557,16.28992857
RW_T11_B_Dark_20240428_O2,193.040924,-7.03E-05,20.06465517
RW_T11_B_Light_20240428_O2,193.8373904,-3.54E-05,20.20187912
RW_T11_Blank_Dark_20240613_O2,258.8566915,-5.01E-04,16.28132203
RW_T11_Blank_Light_20240613_O2,257.9310067,-1.23E-04,16.29408929
RW_T12_67_Dark_20240429_O2,197.8778835,-0.004563995,16.23442697
RW_T12_67_Dark_20240612_O2,192.2907415,-0.002698785,20.20486066
