,TrisCalDate,(Intercept),TTris,date,SampleID,TA,Mass,mV,TempInSitu,Salinity_lab,Sampling_Date,mVTris,pH
1,4/8/2024,-104.4242455,1.41303985,20240408,1,0.002657303,60.2802,-13.9,19.342,35.33,4/8/2024,-77.09322876,7.184706814
2,4/8/2024,-104.4242455,1.41303985,20240408,2,0.002650941,60.1714,-26.8,18.956,35.35,4/8/2024,-77.63866214,7.408902739
3,4/8/2024,-104.4242455,1.41303985,20240408,3,0.002641691,60.3716,-43.2,18.7,35.31,4/8/2024,-78.00040034,7.69325202
4,4/8/2024,-104.4242455,1.41303985,20240408,4,0.002644323,59.947,-28.4,18.95,35.23,4/8/2024,-77.64714038,7.436253317
5,4/8/2024,-104.4242455,1.41303985,20240408,5,0.002642017,60.2337,-35.2,18.979,35.28,4/8/2024,-77.60616222,7.553540887
6,4/8/2024,-104.4242455,1.41303985,20240408,6,0.002637788,59.7498,-22.4,19.18,35.23,4/8/2024,-77.32214121,7.331675124
7,4/8/2024,-104.4242455,1.41303985,20240408,7,0.0026409,59.8106,-37.6,18.9,35.25,4/8/2024,-77.71779237,7.595308223
8,4/8/2024,-104.4242455,1.41303985,20240408,8,0.002649127,59.6095,-28.4,18.693,35.23,4/8/2024,-78.01029162,7.43752454
9,4/8/2024,-104.4242455,1.41303985,20240408,9,0.002649314,60.0568,-42,18.713,35.29,4/8/2024,-77.98203082,7.672407593
10,4/8/2024,-104.4242455,1.41303985,20240408,10,0.002652139,59.9723,-30.3,18.626,35.27,4/8/2024,-78.10496529,7.470769295
11,4/8/2024,-104.4242455,1.41303985,20240408,11,0.002644707,60.0264,-39.7,18.854,35.26,4/8/2024,-77.7827922,7.631828982
12,4/8/2024,-104.4242455,1.41303985,20240408,12,0.002652781,59.9269,-19.2,19.128,35.31,4/8/2024,-77.39561928,7.276925077
13,4/8/2024,-104.4242455,1.41303985,20240408,13,0.00264464,60.0644,-66.7,19.139,35.39,4/8/2024,-77.38007585,8.096081218
14,4/8/2024,-104.4242455,1.41303985,20240408,14,0.002657641,60.2151,-58.9,19.001,35.36,4/8/2024,-77.57507535,7.962451299
15,4/8/2024,-104.4242455,1.41303985,20240408,15,0.002653007,60.3568,-69.7,18.705,35.27,4/8/2024,-77.99333514,8.150731602
16,4/8/2024,-104.4242455,1.41303985,20240408,17,0.002647377,59.6878,-60.6,18.793,35.24,4/8/2024,-77.86898763,7.992917964
17,4/8/2024,-104.4242455,1.41303985,20240408,18,0.002649701,59.7554,-57.9,19.16,35.22,4/8/2024,-77.35040201,7.943805777
18,4/8/2024,-104.4242455,1.41303985,20240408,19,0.002646052,60.0113,-58.8,19.608,35.24,4/8/2024,-76.71736016,7.956349634
19,4/15/2024,-105.0248846,1.432307725,20240415,1,0.002542279,60.1808,-25.9,20.101,35.59,4/15/2024,-76.23406698,7.384760086
20,4/15/2024,-105.0248846,1.432307725,20240415,2,0.002546168,59.9873,-32.3,19.889,35.59,4/15/2024,-76.53771622,7.495779325
21,4/15/2024,-105.0248846,1.432307725,20240415,3,0.00254623,60.2269,-47.3,19.878,35.17,4/15/2024,-76.5534716,7.752835873
22,4/15/2024,-105.0248846,1.432307725,20240415,4,0.002546216,60.2,-28.9,19.916,35.63,4/15/2024,-76.49904391,7.437273284
23,4/15/2024,-105.0248846,1.432307725,20240415,5,0.002532802,60.3954,-34.9,19.838,35.63,4/15/2024,-76.61076391,7.540844356
24,4/15/2024,-105.0248846,1.432307725,20240415,6,0.002542581,59.678,-27.8,19.956,35.62,4/15/2024,-76.4417516,7.418149669
25,4/15/2024,-105.0248846,1.432307725,20240415,7,0.002536453,60.03,-39.3,20.065,35.6,4/15/2024,-76.28563006,7.615263775
26,4/15/2024,-105.0248846,1.432307725,20240415,8,0.002542442,60.367,-35.3,19.951,35.62,4/15/2024,-76.44891314,7.547132608
27,4/15/2024,-105.0248846,1.432307725,20240415,9,0.002653979,59.8003,-42.8,19.875,35.6,4/15/2024,-76.55776853,7.676461574
28,4/15/2024,-105.0248846,1.432307725,20240415,10,0.002549672,59.865,-32.9,19.819,35.61,4/15/2024,-76.63797776,7.506487671
29,4/15/2024,-105.0248846,1.432307725,20240415,11,0.002539795,60.2508,-39.3,19.842,35.62,4/15/2024,-76.60503468,7.616485464
30,4/15/2024,-105.0248846,1.432307725,20240415,12,0.002541123,59.7392,-21.8,20.004,35.64,4/15/2024,-76.37300083,7.314826729
31,4/15/2024,-105.0248846,1.432307725,20240415,13,0.002553347,59.8885,-49.7,20.329,35.68,4/15/2024,-75.90750082,7.79265329
32,4/15/2024,-105.0248846,1.432307725,20240415,14,0.002542994,60.1856,-47.6,20.223,35.61,4/15/2024,-76.05932544,7.757037954
33,4/15/2024,-105.0248846,1.432307725,20240415,15,0.002547727,59.9362,-49.2,20.194,35.71,4/15/2024,-76.10086236,7.784927454
34,4/15/2024,-105.0248846,1.432307725,20240415,17,0.002551945,60.178,-48.5,20.172,35.67,4/15/2024,-76.13237313,7.772935384
35,4/15/2024,-105.0248846,1.432307725,20240415,18,0.002541581,60.115,-47.6,20.258,35.58,4/15/2024,-76.00919467,7.756766501
36,4/15/2024,-105.0248846,1.432307725,20240415,19,0.002546183,59.9026,-50.2,20.325,35.66,4/15/2024,-75.91323005,7.801216516
37,4/22/2024,-103.0167942,1.322043845,20240422,1,0.002476825,59.7889,-29.9,21.181,35.83,4/22/2024,-75.01458356,7.443346557
38,4/22/2024,-103.0167942,1.322043845,20240422,2,0.002472047,60.1548,-34.8,21.056,35.8,4/22/2024,-75.17983904,7.528041065
39,4/22/2024,-103.0167942,1.322043845,20240422,3,0.002474111,59.5574,-44.8,20.947,35.81,4/22/2024,-75.32394182,7.700180144
40,4/22/2024,-103.0167942,1.322043845,20240422,4,0.002476755,60.205,-40.2,21.067,34.44,4/22/2024,-75.16529656,7.617376691
41,4/22/2024,-103.0167942,1.322043845,20240422,5,0.002472641,60.1884,-38.5,20.931,35.8,4/22/2024,-75.34509452,7.592311252
42,4/22/2024,-103.0167942,1.322043845,20240422,6,0.00247062,59.8369,-27.2,20.994,35.8,4/22/2024,-75.26180576,7.398252527
43,4/22/2024,-103.0167942,1.322043845,20240422,7,0.002468942,59.8395,-43.5,21.312,35.85,4/22/2024,-74.84139582,7.675293001
44,4/22/2024,-103.0167942,1.322043845,20240422,8,0.002471076,59.9369,-32.4,21.065,35.79,4/22/2024,-75.16794064,7.486844963
45,4/22/2024,-103.0167942,1.322043845,20240422,9,0.002475546,60.0045,-48,21,35.78,4/22/2024,-75.25387349,7.754541088
46,4/22/2024,-103.0167942,1.322043845,20240422,10,0.002472052,60.3902,-35.9,20.963,35.72,4/22/2024,-75.30278912,7.5473464
47,4/22/2024,-103.0167942,1.322043845,20240422,11,0.002469367,60.3645,-40.7,20.978,35.8,4/22/2024,-75.28295846,7.629673203
48,4/22/2024,-103.0167942,1.322043845,20240422,12,0.002470685,59.8289,-25.7,21.049,35.8,4/22/2024,-75.18909335,7.372201881
49,4/22/2024,-103.0167942,1.322043845,20240422,13,0.00246943,59.9171,-61.7,21.493,35.7,4/22/2024,-74.60210588,7.984914446
50,4/22/2024,-103.0167942,1.322043845,20240422,14,0.002468373,60.0005,-51,21.3,35.78,4/22/2024,-74.85726034,7.803589889
51,4/22/2024,-103.0167942,1.322043845,20240422,15,0.002464804,60.2624,-53.4,21.275,35.75,4/22/2024,-74.89031144,7.844798434
52,4/22/2024,-103.0167942,1.322043845,20240422,17,0.002467021,59.8227,-49.8,21.242,35.75,4/22/2024,-74.93393888,7.78343228
53,4/22/2024,-103.0167942,1.322043845,20240422,18,0.002472724,59.9624,-65.5,21.321,35.87,4/22/2024,-74.82949742,8.051795087
54,4/22/2024,-103.0167942,1.322043845,20240422,19,0.002474146,59.7325,-54.8,21.439,35.8,4/22/2024,-74.67349625,7.867556218
