date,ID,tank,sample_type,TA,water_mass
20240521,T12_initial_1,12,Initial,2407.867059,60.1468
20240521,T12_initial_2,12,Initial,2410.230791,60.3458
20240521,T12_initial_3,12,Initial,2406.237188,60.3058
20240521,1,12,,2415.697793,59.889
20240521,60,12,,2418.514083,59.8881
20240521,75,12,,2431.942891,60.0747
20240521,T12_Blank,12,Blank,2404.076989,59.9727
20240528,56,1,,2441.606049,60.2726
20240528,64,1,,2455.67215,59.9341
20240528,69,1,,2452.555372,59.9824
20240528,T1_Blank,1,Blank,2419.093067,59.9986
20240528,T1_initial_1,1,Initial,2426.472046,60.0612
20240528,T1_initial_2,1,Initial,2429.370294,59.9219
20240528,T1_initial_3,1,Initial,2433.691838,60.3792
20240528,3,13,,2423.066555,59.9633
20240528,15,13,,2411.991425,60.1519
20240528,59,13,,2409.548232,60.4729
20240528,T13_Blank,13,Blank,2430.591063,60.0575
20240528,T13_initial_1,13,Initial,2431.612705,60.386
20240528,T13_initial_2,13,Initial,2430.732329,59.7577
20240528,T13_initial_3,13,Initial,2426.889986,59.857
20240528,8,18,,2422.516571,59.8124
20240528,11,18,,2424.638169,59.8375
20240528,37,18,,2420.5584,59.9561
20240528,T18_Blank,18,Blank,2406.278573,59.9339
20240528,T18_initial_1,18,Initial,2400.666268,59.9002
20240528,T18_initial_2,18,Initial,2377.895608,60.109
20240528,T18_initial_3,18,Initial,2436.667339,59.7573
