,TrisCalDate,(Intercept),TTris,date,SampleID,TA,Mass,mV,TempInSitu,Salinity_lab,Sampling_Date,mVTris,pH
1,5/20/2024,-102.3527387,1.626227068,20240521,TANK1,0.002282773,59.6466,-20.8,15.8,33.67,5/21/2024,-68.52721565,7.404826574
2,5/20/2024,-102.3527387,1.626227068,20240521,TANK2,0.002315221,59.9102,-23.8,16.2,33.77,5/21/2024,-68.36459294,7.456345393
3,5/20/2024,-102.3527387,1.626227068,20240521,TANK3,0.002322566,60.2816,-17.9,19.6,33.78,5/21/2024,-68.36459294,7.355246272
4,5/20/2024,-102.3527387,1.626227068,20240521,TANK4,0.002316799,60.4098,-25.5,19.7,33.74,5/21/2024,-68.36459294,7.485416078
5,5/20/2024,-102.3527387,1.626227068,20240521,TANK5,0.002311654,60.0197,-12.9,16.2,33.69,5/21/2024,-68.36459294,7.269352819
6,5/20/2024,-102.3527387,1.626227068,20240521,TANK6,0.002320114,59.6509,-25.7,16,33.75,5/21/2024,-68.36459294,7.488865874
7,5/20/2024,-102.3527387,1.626227068,20240521,TANK7,0.002309095,60.1383,-33.6,19.8,33.71,5/21/2024,-68.52721565,7.624370471
8,5/20/2024,-102.3527387,1.626227068,20240521,TANK8,0.002309518,59.8458,-36.6,19.7,33.71,5/21/2024,-68.36459294,7.675595009
9,5/20/2024,-102.3527387,1.626227068,20240521,TANK9,0.002314786,60.0716,-20.7,19.9,33.74,5/21/2024,-68.52721565,7.403265951
10,5/20/2024,-102.3527387,1.626227068,20240521,TANK10,0.002305845,59.9405,-18.6,20,33.71,5/21/2024,-68.20197024,7.366984068
11,5/20/2024,-102.3527387,1.626227068,20240521,TANK11,0.002312706,60.18,-14,16.3,33.73,5/21/2024,-68.20197024,7.288214497
12,5/20/2024,-102.3527387,1.626227068,20240521,TANK12,0.002313196,59.5927,-29.9,20.1,33.73,5/21/2024,-68.20197024,7.56063465
13,5/20/2024,-102.3527387,1.626227068,20240521,TANK13,0.002315783,59.6275,-26.2,16.6,33.73,5/21/2024,-68.20197024,7.497241281
14,5/20/2024,-102.3527387,1.626227068,20240521,TANK14,0.002300695,60.0479,-46.4,19.7,33.69,5/21/2024,-68.03934753,7.842979167
15,5/20/2024,-102.3527387,1.626227068,20240521,TANK15,0.002313354,60.0176,-21.9,20.1,33.69,5/21/2024,-68.36459294,7.423605345
16,5/20/2024,-102.3527387,1.626227068,20240521,TANK17,0.002310229,60.4232,-36.5,16.3,33.69,5/21/2024,-68.36459294,7.673837221
17,5/20/2024,-102.3527387,1.626227068,20240521,TANK18,0.002305729,59.9279,-23.3,16.3,33.69,5/21/2024,-68.20197024,7.447466997
18,5/20/2024,-102.3527387,1.626227068,20240521,TANK19,0.002309724,60.0906,-30.4,16.1,33.76,5/21/2024,-68.20197024,7.569267075
19,5/27/2024,-99.49672083,1.48774003,20240528,TANK1,0.002404424,59.5589,-22.7,16.2,34.34,5/28/2024,-68.25418021,7.437727507
20,5/27/2024,-99.49672083,1.48774003,20240528,TANK2,0.002400291,60.4318,-31.3,16.1,34.41,5/28/2024,-68.40295421,7.585650292
21,5/27/2024,-99.49672083,1.48774003,20240528,TANK3,0.002406438,59.9641,-20.2,20.1,34.46,5/28/2024,-68.40295421,7.395517357
22,5/27/2024,-99.49672083,1.48774003,20240528,TANK4,0.002424946,59.9431,-34.8,20.1,34.47,5/28/2024,-68.40295421,7.64577162
23,5/27/2024,-99.49672083,1.48774003,20240528,TANK5,0.00240677,60.423,-21.9,16.4,34.37,5/28/2024,-68.55172821,7.424817578
24,5/27/2024,-99.49672083,1.48774003,20240528,TANK6,0.002415259,59.6215,-34.6,16.1,34.36,5/28/2024,-68.55172821,7.642536709
25,5/27/2024,-99.49672083,1.48774003,20240528,TANK7,0.002403177,59.825,-39.5,20.1,34.38,5/28/2024,-68.55172821,7.726591959
26,5/27/2024,-99.49672083,1.48774003,20240528,TANK8,0.0024115,59.8434,-37.9,20,34.46,5/28/2024,-68.55172821,7.69933919
27,5/27/2024,-99.49672083,1.48774003,20240528,TANK9,0.002399116,59.6912,-33.2,20.4,34.42,5/28/2024,-68.40295421,7.618237072
28,5/27/2024,-99.49672083,1.48774003,20240528,TANK10,0.002405155,59.7573,-22.9,20.1,34.44,5/28/2024,-68.40295421,7.441748358
29,5/27/2024,-99.49672083,1.48774003,20240528,TANK11,0.002406671,59.9103,-15.4,16.2,34.44,5/28/2024,-68.40295421,7.313204586
30,5/27/2024,-99.49672083,1.48774003,20240528,TANK12,0.00239931,59.9126,-38.7,20.1,34.46,5/28/2024,-68.40295421,7.712591994
31,5/27/2024,-99.49672083,1.48774003,20240528,TANK13,0.002413245,59.8898,-38.6,16.6,34.48,5/28/2024,-68.25418021,7.710460016
32,5/27/2024,-99.49672083,1.48774003,20240528,TANK14,0.002411827,59.9969,-50.9,19.9,34.45,5/28/2024,-68.40295421,7.921667482
33,5/27/2024,-99.49672083,1.48774003,20240528,TANK15,0.002400259,60.2991,-25.3,20.1,34.39,5/28/2024,-68.55172821,7.483155339
34,5/27/2024,-99.49672083,1.48774003,20240528,TANK17,0.00240907,60.0759,-48.1,16.2,34.41,5/28/2024,-68.40295421,7.873588341
35,5/27/2024,-99.49672083,1.48774003,20240528,TANK18,0.002406689,60.2434,-30.4,16.1,34.36,5/28/2024,-68.40295421,7.57011334
36,5/27/2024,-99.49672083,1.48774003,20240528,TANK19,0.002408149,59.7608,-34.1,16.1,34.4,5/28/2024,-68.25418021,7.633181341
