date,experiment,ID,tank,sample_type,TA,water_mass,...8,tank_exp,TA_initial,mean.blanks,pH_treatment,temp_treatment,volume,wet_weight,dry_weight,TA.start,TA.stop,deltaTA,timediff,umol.cm2.hr
20240521,a,1,12 a,NA,2415.697793,59.889,NA,12 a,2408.1116793333335,-7.0016484999996464,7.2,16,0.1145,2.6701,0.1214,2025-06-18T00:23:00Z,2025-06-18T01:56:00Z,-0.5844651666666323,1.55,-0.1822668149091583
20240521,a,60,12 a,NA,2418.514083,59.8881,NA,12 a,2408.1116793333335,-7.0016484999996464,7.2,16,0.1145,2.146,0.0319,2025-06-18T00:25:00Z,2025-06-18T01:55:00Z,-3.4007551666668405,1.5,-4.170544704785131
20240521,a,75,12 a,NA,2431.942891,60.0747,NA,12 a,2408.1116793333335,-7.0016484999996464,7.2,16,0.115,1.6288,0.0294,2025-06-18T00:26:00Z,2025-06-18T01:51:00Z,-16.829563166666958,1.4166666666666667,-23.814943076481004
20240528,a,56,1 a,NA,2441.606049,60.2726,NA,1 a,2429.844726,8.464481999999862,7.2,20,0.115,2.1513,0.0661,2025-06-18T12:30:00Z,2025-06-18T14:01:00Z,-20.225805000000037,1.5166666666666666,-11.89065899673324
20240528,a,64,1 a,NA,2455.67215,59.9341,NA,1 a,2429.844726,8.464481999999862,7.2,20,0.115,2.6523,0.0429,2025-06-18T12:32:00Z,2025-06-18T14:05:00Z,-34.291905999999926,1.55,-30.394453866832023
20240528,a,69,1 a,NA,2452.555372,59.9824,NA,1 a,2429.844726,8.464481999999862,7.2,20,0.115,1.6639,0.0296,2025-06-18T12:33:00Z,2025-06-18T14:06:00Z,-31.17512799999986,1.55,-40.047604762423525
20240528,a,3,13 a,NA,2423.066555,59.9633,NA,13 a,2429.7450066666665,8.67534508333324,8,20,0.115,2.3898,0.0445,2025-06-18T16:00:00Z,2025-06-18T17:27:00Z,-1.9968934166665804,1.45,-1.8239737426545768
20240528,a,15,13 a,NA,2411.991425,60.1519,NA,13 a,2429.7450066666665,8.67534508333324,8,20,0.115,1.7951,0.1149,2025-06-18T16:02:00Z,2025-06-18T17:30:00Z,9.078236583333137,1.4666666666666666,3.174985572218115
20240528,a,59,13 a,NA,2409.548232,60.4729,NA,13 a,2429.7450066666665,8.67534508333324,8,20,0.115,2.2136,0.0451,2025-06-18T16:05:00Z,2025-06-18T17:31:00Z,11.521429583333202,1.4333333333333333,10.504474646537934
20240528,a,8,18 a,NA,2422.516571,59.8124,NA,18 a,2418.6668035000002,1.259941583333557,8,16,0.12,2.1306,0.0339,2025-06-18T06:37:00Z,2025-06-18T08:30:00Z,-5.109709083333428,1.8833333333333333,-4.922031617589565
20240528,a,11,18 a,NA,2424.638169,59.8375,NA,18 a,2418.6668035000002,1.259941583333557,8,16,0.1205,2.1805,0.041,2025-06-18T06:38:00Z,2025-06-18T08:35:00Z,-7.231307083333149,1.95,-5.585721176549002
20240528,a,37,18 a,NA,2420.5584,59.9561,NA,18 a,2418.6668035000002,1.259941583333557,8,16,0.121,2.022,0.0476,2025-06-18T06:35:00Z,2025-06-18T08:39:00Z,-3.1515380833332074,2.066666666666667,-1.9866639542494624
20240530,a,2,3 a,NA,2419.336037,60.3754,NA,3 a,2432.5556425,0.23756124999999884,7.7,16,0.1145,2.5047,0.0504,2025-06-18T08:43:00Z,2025-06-18T10:20:00Z,12.982044249999944,1.6166666666666667,9.349565342971395
20240530,a,61,3 a,NA,2361.657209,59.8478,NA,3 a,2432.5556425,0.23756124999999884,7.7,16,0.115,1.0905,0.04,2025-06-18T08:44:00Z,2025-06-18T10:21:00Z,70.66087225000001,1.6166666666666667,64.40064677682025
20240530,a,71,3 a,NA,2340.473534,60.2279,NA,3 a,2432.5556425,0.23756124999999884,7.7,16,0.115,2.2174,0.0457,2025-06-18T08:45:00Z,2025-06-18T10:20:00Z,91.84454724999978,1.5833333333333333,74.80946221647166
20240530,a,23,5 a,NA,2425.494968,59.8528,NA,5 a,2422.492518,4.118252250000069,7.5,20,0.115,2.5027,0.0484,2025-06-18T16:10:00Z,2025-06-18T17:35:00Z,-7.120702250000022,1.4166666666666667,-6.120705719874229
20240530,a,34,5 a,NA,2425.537711,60.3035,NA,5 a,2422.492518,4.118252250000069,7.5,20,0.115,2.0595,0.0409,2025-06-18T16:12:00Z,2025-06-18T17:29:00Z,-7.163445249999995,1.2833333333333334,-8.0436075525712
20240530,a,68,5 a,NA,2429.292334,60.0579,NA,5 a,2422.492518,4.118252250000069,7.5,20,0.115,2.0338,0.0312,2025-06-18T16:14:00Z,2025-06-18T17:30:00Z,-10.91806825000026,1.2666666666666666,-16.282480958613114
20240530,a,6,7 a,NA,2343.351614,59.7281,NA,7 a,2422.4483086666664,5.928198833333454,7.6,16,0.115,2.4597,0.04,2025-06-18T22:35:00Z,2025-06-18T00:05:00Z,73.16849583333283,-22.5,-4.791520247974503
20240530,a,14,7 a,NA,2431.926506,59.9759,NA,7 a,2422.4483086666664,5.928198833333454,7.6,16,0.115,2.062,0.042,2025-06-18T22:37:00Z,2025-06-18T00:07:00Z,-15.40639616666681,-22.5,0.9608618773258465
20240530,a,42,7 a,NA,2438.788101,60.0533,NA,7 a,2422.4483086666664,5.928198833333454,7.6,16,0.115,1.9351,0.0416,2025-06-18T22:36:00Z,2025-06-18T00:10:00Z,-22.267991166667116,-22.433333333333334,1.4063247185950998
20240530,a,13,8 a,NA,2431.95265,60.4602,NA,8 a,2407.0441455,-0.6021251666664588,7.4,16,0.1205,2.8554,0.0484,2025-06-18T06:29:00Z,2025-06-18T08:33:00Z,-24.306379333333705,2.066666666666667,-15.006706598615594
20240530,a,25,8 a,NA,2430.005398,59.9668,NA,8 a,2407.0441455,-0.6021251666664588,7.4,16,0.1215,1.681,0.0259,2025-06-18T06:27:00Z,2025-06-18T08:35:00Z,-22.359127333333316,2.1333333333333333,-25.19802564196728
20240530,a,43,8 a,NA,2431.05518,59.8683,NA,8 a,2407.0441455,-0.6021251666664588,7.4,16,0.121,2.3822,0.0455,2025-06-18T06:28:00Z,2025-06-18T08:29:00Z,-23.408909333333366,2.0166666666666666,-15.820306857142878
20240530,a,40,11 a,NA,2423.844934,59.9054,NA,11 a,2437.897108,4.270320250000168,7.6,20,0.115,1.8756,0.0252,2025-06-18T19:25:00Z,2025-06-18T20:42:00Z,9.781853749999755,1.2833333333333334,17.826778150606387
20240530,a,48,11 a,NA,2431.094756,59.8747,NA,11 a,2437.897108,4.270320250000168,7.6,20,0.115,2.3639,0.0372,2025-06-18T19:26:00Z,2025-06-18T20:45:00Z,2.5320317499999874,1.3166666666666667,3.0467868776158484
