Sampling_Date,Sampling_Time,Day_Night,Benthos,Quad_ID,UniqueID,Salinity,pH,TempInSitu,TA,Processing_DateTime,NO3,PO4,SIL,NO2,NH4,Notes
2023-07-31,09:57:00,Day,Barnacle,B1,B1_Day,32.84,8.066572205167962,21.23,2219.670036,8/1/2023 9:00,8.98,0.51,3.9,0.16,4.52,NA
2023-07-31,09:57:00,Day,Barnacle,B3,B3_Day,32.92,8.088093952460966,20.93,2212.142877,8/1/2023 9:00,4.21,0.36,7.5,0.13,3.36,NA
2023-07-31,09:57:00,Day,Barnacle,B5,B5_Day,32.5,8.070430963571635,20.63,2193.8560430000002,8/1/2023 9:00,0.74,0.31,4.5,0.12,1.58,NA
2023-07-31,09:57:00,Day,Open Ocean,OO1,OO_Day1,32.52,8.028743194994616,20.68,2222.332885,8/1/2023 9:00,0.62,0.32,7,0.08,0.7,Used B5 hobo for sas OO temperature
2023-07-31,09:57:00,Day,Rockweed,RW1,RW1_Day,32.3,8.063194067447062,20.76,2221.371946,7/31/2023 16:00,1.33,0.41,6.4,0.17,6.63,NA
2023-07-31,09:57:00,Day,Rockweed,RW3,RW3_Day,33.05,8.045557711181798,20.68,2171.436726,7/31/2023 16:00,0.49,0.4,5,0.15,2.01,NA
2023-07-31,09:57:00,Day,Rockweed,RW5,RW5_Day,32.44,8.044987475581255,20.68,2237.979527,7/31/2023 16:00,1.38,0.41,7.2,0.27,11.2,NA
2023-07-31,09:57:00,Day,Surfgrass,P1,P1_Day,32.51,7.9937994563940675,20.76,2178.925258,8/1/2023 9:00,1.11,0.39,5.4,0.19,1.68,NA
2023-07-31,09:57:00,Day,Surfgrass,P5,P5_Day,32.54,7.960960726374171,20.37,NA,8/1/2023 9:00,NA,NA,NA,NA,NA,Bag ripped. No TA. This pH might be contaminated too
2023-08-01,21:33:00,Night,Barnacle,B1,B1_Night,32.45,8.0792847792139,20.8,2178.892963,8/2/2023 9:00,1.48,0.5,6.3,0.11,1.36,NA
2023-08-01,21:33:00,Night,Barnacle,B5,B5_Night,32.75,8.053716670679279,20.25,2191.479707,8/2/2023 9:00,0.8,0.44,5.2,0.13,1.85,NA
2023-08-01,21:33:00,Night,Mussel,M1,M1_Night,33.01,8.057997439968407,20.25,2215.525752,8/2/2023 9:00,1.49,0.45,4.7,0.14,2.19,might have a few mls contamination from accidental cal
2023-08-01,21:33:00,Night,Open Ocean,OO1,OO_Night1,33.21,8.097748543806283,20.25,2214.082347,8/2/2023 9:00,NA,NA,NA,NA,NA,No Nutrients
2023-08-01,21:33:00,Night,Rockweed,RW1,RW1_Night,32.52,8.094134974559942,21.02,2150.113075,8/2/2023 9:00,1,0.54,7,0.13,1.57,NA
2023-08-01,21:33:00,Night,Rockweed,RW3,RW3_Night,32.75,8.088932139275077,21.1,2150.22158,8/2/2023 9:00,2.44,0.57,5.1,0.17,2.62,NA
2023-08-01,21:33:00,Night,Rockweed,RW5,RW5_Night,32.84,8.09910097678146,21.23,2177.462649,8/2/2023 9:00,4,0.68,8.6,0.39,1.86,NA
2023-08-01,21:33:00,Night,Surfgrass,P1,P1_Night,32.6,8.088097948025238,20.98,2153.808019,8/2/2023 9:00,0.81,0.5,5.7,0.14,1.22,NA
2023-08-01,21:33:00,Night,Surfgrass,P3,P3_Night,33.2,8.09838279218272,21.06,2150.314599,8/2/2023 9:00,0.64,0.61,6.1,0.09,0.87,NA
2023-08-02,11:10:00,Day,Barnacle,B2,B2_Day,32.45,7.991175641745614,19.26,NA,8/2/2023 19:00,NA,NA,NA,NA,NA,Barely any TA/pH water
2023-08-02,11:10:00,Day,Barnacle,B6,B6_Day,33.45,8.004284179363596,19.26,2213.248654,8/2/2023 19:00,0.79,0.4,5.2,0.17,1.27,NA
2023-08-02,11:10:00,Day,Mussel,M2,M2_Day,32.87,8.025125111361541,19,2222.896243,8/3/2023 10:00,NA,NA,NA,NA,NA,No Nutrients
2023-08-02,11:10:00,Day,Mussel,M6,M6_Day,32.96,8.00212505310056,19.35,2232.201609,8/3/2023 10:00,3.36,0.4,5.4,0.14,1.62,Barely any TA/pH water
2023-08-02,11:10:00,Day,Open Ocean,OO2,OO_Day2,32.92,8.0063228028983,18.7,NA,8/2/2023 19:00,NA,NA,NA,NA,NA,No Nutrients/ TA bag ripped
2023-08-02,11:10:00,Day,Rockweed,RW2,RW2_Day,33.08,7.989295846542845,19.26,2236.8400580000002,8/2/2023 19:00,2.16,0.56,5.6,0.15,2.92,NA
2023-08-02,11:10:00,Day,Rockweed,RW4,RW4_Day,33.18,7.977171301914388,19.13,2229.400653,8/2/2023 19:00,0.45,0.41,12,0.08,0.68,NA
2023-08-02,11:10:00,Day,Rockweed,RW6,RW6_Day,33.04,7.9746880879360065,19.17,2230.971256,8/2/2023 19:00,1.15,1.75,6.4,0.35,0.81,NA
