processing_group,marine_site_code,marine_site_name,latitude,longitude,georegion,island,time_format,detide_method,height_cutoff,year,month,day,date,day_of_year,sum,n,mean,stddev,stderr,coeffvar
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,18,10/18/2016,292,63.8,4,15.95,0.88,0.44,5.5
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,19,10/19/2016,293,65.42,4,16.36,0.69,0.34,4.21
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,20,10/20/2016,294,66.86,4,16.72,0.77,0.38,4.59
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,21,10/21/2016,295,70.08,4,17.52,0.94,0.47,5.34
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,22,10/22/2016,296,71.99,4,18,0.5,0.25,2.78
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,23,10/23/2016,297,72,4,18,0.28,0.14,1.54
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,24,10/24/2016,298,35.62,2,17.81,0.07,0.05,0.4
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,25,10/25/2016,299,70.85,4,17.71,0.51,0.25,2.85
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,26,10/26/2016,300,70.28,4,17.57,0.61,0.3,3.46
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,27,10/27/2016,301,67.62,4,16.91,0.66,0.33,3.93
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,28,10/28/2016,302,67.04,4,16.76,0.6,0.3,3.58
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,29,10/29/2016,303,65.61,4,16.4,0.36,0.18,2.18
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,30,10/30/2016,304,64.56,4,16.14,0.44,0.22,2.72
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,10,31,10/31/2016,305,63.9,4,15.98,0.19,0.1,1.22
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,1,11/1/2016,306,64.38,4,16.1,0.17,0.08,1.04
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,2,11/2/2016,307,65.61,4,16.4,0.14,0.07,0.86
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,3,11/3/2016,308,65.42,4,16.35,0.05,0.03,0.31
