transect,meter,rockweed_density
1,1,6
1,2,12
1,6,12
1,8,1
1,9,5
1,10,4
1,11,5
1,12,2
1,13,7
1,14,5
1,15,1
1,18,1
1,20,10
1,21,4
1,22,10
1,23,2
1,24,5
1,27,6
1,29,7
1,30,8
2,1,4
2,2,17
2,4,2
2,5,17
2,6,7
2,7,4
2,8,2
2,9,11
2,10,10
2,11,8
2,12,1
2,13,4
2,17,9
2,19,4
2,20,1
2,21,2
2,23,8
2,24,3
2,25,2
2,26,5
2,27,10
2,28,8
2,29,6
2,30,9
3,1,10
3,2,9
3,3,7
3,4,1
3,5,6
3,6,13
3,7,20
3,8,17
3,9,16
3,10,10
3,11,13
3,12,26
3,13,23
3,16,5
3,17,3
3,18,5
3,19,20
3,20,3
3,21,15
3,22,10
3,24,16
3,25,7
3,26,10
3,27,19
3,28,4
3,29,10
3,30,14
