transect,meter,thallus_length
1,1,34
1,1,38
1,1,18
1,2,21
1,2,17
1,2,23
1,6,21
1,6,33
1,6,33
1,8,36
1,9,25
1,9,21
1,9,3.2
1,10,23
1,10,26
1,10,48
1,11,25
1,11,4.5
1,11,43
1,12,37
1,12,49
1,13,45
1,13,21
1,13,35
1,14,19
1,14,17
1,14,32
1,15,45
1,18,17
1,20,16.5
1,20,47
1,20,15
1,21,21
1,21,44
1,21,49
1,22,23
1,22,18
1,22,35
1,23,20
1,23,6.5
1,24,15
1,24,12
1,24,8
1,27,30
1,27,19
1,27,20
1,29,8
1,29,23
1,29,21
1,30,14.5
1,30,16
1,30,22
3,1,52
3,1,34
3,1,57
3,2,22
3,2,40
3,2,54
3,3,67
3,3,18
3,3,53
3,4,39
3,5,60
3,5,19.5
3,5,52
3,6,51
3,6,66
3,6,34
3,7,51
3,7,57
3,7,60
3,8,42
3,8,26
3,8,30
3,9,72
3,9,65
3,9,51
3,10,36
3,10,43
3,10,59
3,11,25
3,11,54
3,12,16
3,12,42
3,12,36
3,13,79
3,13,40
3,13,22
3,16,42
3,16,35
3,16,11
3,17,1.5
3,17,6
3,17,3.2
3,18,24
3,18,19
3,18,28
3,19,50
3,19,36
3,19,22
3,20,16
3,20,60
3,20,63
3,21,24
3,21,65
3,21,51
3,22,47
3,22,27
3,22,26
3,24,7
3,24,16
3,24,57
3,25,37
3,25,26
3,25,23
3,26,24
3,26,28
3,26,41
3,27,38
3,27,35
3,27,55
3,28,29
3,28,19
3,28,25
3,29,26
3,29,30
3,29,21
3,30,28
3,30,30
3,30,33
2,1,23
2,1,16.5
2,1,27
,2,24.5
,2,31
,2,33
,4,18
,4,7
,5,38
,5,36
,5,29
,6,25
,6,24
,6,36
,7,27
,7,16
,7,29
,8,21
,8,20
,9,18
,9,31
,9,38
,10,35
,10,17
,10,27
,11,41
,11,22
,11,42
,12,20
,13,34
,13,14
,13,23
,16,18
,17,25
,17,28
,17,24
,19,18
,19,10
,19,7
,20,17
,21,26
,21,30
,22,35
,22,25
,22,26
,23,32
,23,30
,23,37
,24,18
,24,19
,24,24
,25,36
,25,20
,26,39
,26,31
,26,38
,27,15
,27,22
,27,19
,28,34
,28,23
,28,6
,29,43
,29,29
,29,29
,30,38
,30,39
,30,26
