date,time,sea_water_temperature
2024-03-01,18:28:20Z,16.04999924
2024-03-01,18:30:00Z,
2024-03-01,18:58:20Z,16.14999962
2024-03-01,19:00:00Z,
2024-03-01,19:28:20Z,16.29999924
2024-03-01,19:30:00Z,
2024-03-01,19:58:20Z,16.29999924
2024-03-01,20:00:00Z,
2024-03-01,20:28:20Z,16.29999924
2024-03-01,20:30:00Z,
2024-03-01,20:58:20Z,16.25
2024-03-01,21:00:00Z,
2024-03-01,21:28:20Z,16.45000076
2024-03-01,21:30:00Z,
2024-03-01,21:58:20Z,16.14999962
2024-03-01,22:00:00Z,
2024-03-01,22:28:20Z,16.20000076
2024-03-01,22:30:00Z,
2024-03-01,22:58:20Z,16.14999962
2024-03-01,23:00:00Z,
2024-03-01,23:28:20Z,16.04999924
2024-03-01,23:30:00Z,
2024-03-01,23:58:20Z,16.04999924
2024-03-02,00:00:00Z,
2024-03-02,00:28:20Z,16.04999924
2024-03-02,00:30:00Z,
2024-03-02,00:58:20Z,16.04999924
2024-03-02,01:00:00Z,
2024-03-02,01:28:20Z,16.04999924
2024-03-02,01:30:00Z,
2024-03-02,01:58:20Z,16.04999924
2024-03-02,02:00:00Z,
2024-03-02,02:28:20Z,16
2024-03-02,02:30:00Z,
2024-03-02,02:58:20Z,15.95000076
2024-03-02,03:00:00Z,
2024-03-02,03:28:20Z,15.95000076
2024-03-02,03:30:00Z,
2024-03-02,03:58:20Z,15.89999962
2024-03-02,04:00:00Z,
2024-03-02,04:28:20Z,15.89999962
2024-03-02,04:30:00Z,
2024-03-02,04:58:20Z,15.89999962
2024-03-02,05:00:00Z,
2024-03-02,05:28:20Z,15.89999962
2024-03-02,05:30:00Z,
2024-03-02,05:58:20Z,15.89999962
2024-03-02,06:00:00Z,
2024-03-02,06:28:20Z,15.89999962
2024-03-02,06:30:00Z,
2024-03-02,06:58:20Z,15.89999962
2024-03-02,07:00:00Z,
2024-03-02,07:28:20Z,15.89999962
2024-03-02,07:30:00Z,
2024-03-02,07:58:20Z,15.85000038
2024-03-02,08:00:00Z,
2024-03-02,08:28:20Z,15.85000038
2024-03-02,08:30:00Z,
2024-03-02,08:58:20Z,15.85000038
2024-03-02,09:00:00Z,
2024-03-02,09:28:20Z,15.85000038
2024-03-02,09:30:00Z,
2024-03-02,09:58:20Z,15.85000038
2024-03-02,10:00:00Z,
2024-03-02,10:28:20Z,15.85000038
2024-03-02,10:30:00Z,
2024-03-02,10:58:20Z,15.85000038
2024-03-02,11:00:00Z,
2024-03-02,11:28:20Z,15.85000038
2024-03-02,11:30:00Z,
2024-03-02,11:58:20Z,15.85000038
2024-03-02,12:00:00Z,
2024-03-02,12:28:20Z,15.85000038
2024-03-02,12:30:00Z,
2024-03-02,12:58:20Z,15.85000038
2024-03-02,13:00:00Z,
2024-03-02,13:28:20Z,15.79999924
2024-03-02,13:30:00Z,
2024-03-02,13:58:20Z,15.79999924
2024-03-02,14:00:00Z,
2024-03-02,14:28:20Z,15.85000038
2024-03-02,14:30:00Z,
2024-03-02,14:58:20Z,15.79999924
2024-03-02,15:00:00Z,
2024-03-02,15:28:20Z,15.85000038
2024-03-02,15:30:00Z,
2024-03-02,15:58:20Z,15.85000038
2024-03-02,16:00:00Z,
2024-03-02,16:28:20Z,15.85000038
2024-03-02,16:30:00Z,
2024-03-02,16:58:20Z,15.79999924
2024-03-02,17:00:00Z,
2024-03-02,17:28:20Z,15.79999924
2024-03-02,17:30:00Z,
2024-03-02,17:58:20Z,15.85000038
2024-03-02,18:00:00Z,
2024-03-02,18:28:20Z,15.85000038
2024-03-02,18:30:00Z,
2024-03-02,18:58:20Z,15.85000038
2024-03-02,19:00:00Z,
2024-03-02,19:28:20Z,15.85000038
2024-03-02,19:30:00Z,
2024-03-02,19:58:20Z,15.79999924
2024-03-02,20:00:00Z,
