date,rockweed_ID,weight_g,,
20240329,1,2.0671,red,
20240329,2,2.0463,orange,
20240329,3,2.0001,yellow,
20240329,4,2.0971,green,
20240329,5,2.05164,blue,
20240329,6,2.0962,purple,
20240329,7,2.0879,red,
20240329,8,2.001,orange,
20240329,9,2.0953,yellow,
20240329,10,2.0743,green,
20240329,11,2.0182,blue,
20240329,12,1.9468,purple,
20240329,13,2.0625,red,
20240329,14,2.0541,orange,
20240329,15,2.0849,yellow,
20240329,16,1.9139,green,
20240329,17,1.9501,blue,
20240329,18,2.0589,purple,
20240329,19,1.9723,red,
20240329,20,1.9488,orange,
20240329,21,1.9165,yellow,
20240329,22,1.989,green,
20240329,23,2.0231,blue,
20240329,24,2.0219,purple,
20240329,25,2.0959,red,
20240329,26,1.9135,orange,
20240329,27,2.058,yellow,
20240329,28,2.003,green,
20240329,29,2.0645,blue,
20240329,30,2.0861,purple,
20240329,31,2.0296,red,
20240329,32,2.0259,orange,
20240329,33,2.0371,yellow,
20240329,34,1.9347,green,
20240329,35,2.0751,blue,
20240329,36,2.092,purple,
20240329,37,2.0094,red,
20240329,38,2.0879,orange,
20240329,39,2.0892,yellow,
20240329,40,2.0507,green,
20240329,41,2.0873,blue,
20240329,42,2.0641,purple,
20240329,43,2.0608,red,
20240329,44,2.0465,orange,
20240329,45,2.0065,yellow,
20240329,46,2.0509,green,
20240329,47,1.9479,blue,
20240329,48,1.9493,purple,
20240329,49,1.9997,red,
20240329,50,1.9496,orange,
20240329,51,1.9023,yellow,
20240329,52,2.0716,green,
20240329,53,2.0837,blue,
20240329,54,2.0893,purple,
20240329,55,2.0897,red,
20240329,56,2.0825,orange,
20240329,57,2.0903,yellow,
20240329,58,2.0004,green,
20240329,59,2.0573,blue,
20240329,60,2.0587,purple,
20240329,61,2.077,red,
20240329,62,1.9644,orange,
20240329,63,2.0539,yellow,
20240329,64,2.0864,green,
20240329,65,2.0467,blue,
20240329,66,2.0744,purple,
20240329,67,1.9056,red,
20240329,68,2.0826,orange,
20240329,69,2.0715,yellow,
20240329,70,2.0783,green,
20240329,71,2.0904,blue,
20240329,72,1.99,purple,
20240329,73,2.0633,red,
20240329,74,2.061,orange,
20240329,75,2.0688,yellow,
20240329,76,2.0244,green,
20240329,77,2.0702,blue,
20240329,78,2.0731,purple,
20240329,79,2.0356,red,
20240329,80,2.0823,orange,
20240329,81,2.0256,yellow,
20240329,82,1.9787,green,
20240329,83,2.0161,blue,
20240329,84,1.9584,purple,
20240329,85,2.0796,red,
20240329,86,2.0771,orange,
20240329,87,2.0858,yellow,
20240329,88,2.0726,green,
20240329,89,2.0836,blue,
20240329,90,2.0868,purple,
20240329,91,2.0345,red,
20240329,92,2.0842,orange,
20240329,93,2.0219,yellow,
20240329,94,2.0339,green,
20240329,95,1.9416,blue,
20240329,96,2.0766,purple,
20240329,97,2.0784,red,
20240329,98,2.0639,orange,
20240329,99,1.9299,yellow,
20240329,100,2.0563,green,
20240329,101,1.9894,blue,
20240329,102,2.0645,purple,
20240329,103,2.0813,red,
20240329,104,2.0104,orange,
20240329,105,1.9395,yellow,
20240329,106,2.0261,green,
20240329,107,2.0583,blue,
20240329,108,2.0637,purple,
20240403,1,2.58,red,
20240403,2,2.3194,orange,
20240403,3,2.3114,yellow,
20240403,4,2.6039,green,
20240403,5,2.3144,blue,
20240403,6,2.5283,purple,
20240403,7,2.8036,red,
20240403,8,2.3956,orange,
20240403,9,3.1481,yellow,
20240403,10,2.3905,green,
20240403,11,2.7521,blue,
20240403,12,2.381,purple,
20240403,13,2.7257,red,
20240403,14,2.7948,orange,
20240403,15,2.6589,yellow,
20240403,16,2.6827,green,
20240403,17,2.4261,blue,
20240403,18,2.2951,purple,
20240403,19,2.5711,red,
20240403,20,2.7014,orange,
20240403,21,2.5638,yellow,
20240403,22,2.5394,green,
20240403,23,2.6576,blue,
20240403,24,2.5006,purple,
20240403,25,3.0453,red,
20240403,26,2.8398,orange,
20240403,27,2.7044,yellow,broke
20240403,28,2.693,green,
20240403,29,3.2756,blue,
20240403,30,3.0305,purple,
20240403,31,3.1008,red,
20240403,32,3.123,orange,
20240403,33,2.5671,yellow,
20240403,34,2.6329,green,
20240403,35,3.0311,blue,
20240403,36,2.4868,purple,
20240403,37,3.0196,red,
20240403,38,2.8956,orange,
20240403,39,2.6982,yellow,
20240403,40,3.1315,green,
20240403,41,3.0784,blue,
20240403,42,2.9585,purple,
20240403,43,2.9017,red,
20240403,44,2.0005,orange,
