snail_ID,snail_colors,blotted_wet_weight_g,shell_length_mm,shell_width_mm,tank,pH,temp,rep,shell_length2,shell_width2,final_wet_weight,final_dry_weight,dry_shell
33,red-dark green-red,1.2501,12.63,14.48,0,,,,,,,,
29,red-light green-red,1.3087,13.59,14.58,0,,,,,,,,
58,pink-red-light green-dark green,1.525,14.28,15.49,0,,,,,,,,
16,dark green-light green,1.54,14.23,15.01,0,,,,,,,,
49,dark green-red-light green,2.1974,15.36,16.76,0,,,,,,,,
57,pink-red-light green-red,2.3135,16.36,16.58,0,,,,,,,,
39,light green-red-pink,3.0005,18.24,18.15,0,,,,,,,,
76,pink-dark green-red-light green,3.0014,17.65,17.89,0,,,,,,,,
4,dark green,3.495,19.19,17.27,0,,,,,,,,
69,pink-light green-dark green-light green,1.6524,14.22,15.28,1,7.2,20,161609,14.2,15.32,1.6639,0.0329,1.2962
56,pink-red-light green-pink,2.1184,15.93,15.9,1,7.2,20,161613,16.04,16.37,2.1513,0.0695,1.7045
64,pink-light green-pink-dark green,2.6371,16.1,17.42,1,7.2,20,161611,14.84,17.53,2.6523,0.0488,2.1261
26,red-pink-red,2.0996,14.87,16.69,2,7.4,20,161647,13.65,17,2.0852,0.0487,1.678
27,red-pink-light green,2.2293,16.09,16.68,2,7.4,20,161604,15.75,17.14,2.3067,0.0469,1.7579
67,pink-light green-red-dark green,2.2847,16.35,16.43,2,7.4,20,161684,16.97,16.78,2.2638,0.0993,1.7865
61,pink-red-dark green-light green,1.8788,14.72,16.29,3,7.7,16,161667,13.83,16.71,,0.0446,1.4683
71,pink-dark green-pink-dark green,2.1278,15.34,16.78,3,7.7,16,161637,14.92,17.11,2.2174,0.0553,1.7132
2,red,2.4469,14.63,15.53,3,7.7,16,161658,15.9,17.23,2.5047,0.0558,1.9691
19,pink-red-dark green,2.2341,16,16.6,4,7.3,20,161691,15.97,16.92,2.3462,0.0428,1.9008
62,pink-light green-pink-light green,2.2856,15.84,16.74,4,7.3,20,161659,15.06,17.02,2.3512,0.0469,1.8771
20,pink-light green-pink,2.4716,16.77,17.01,4,7.3,20,161650,17.03,17.26,2.6092,0.0592,2.07
34,red-dark green-light green,2.0361,15.74,15.94,5,7.5,20,161634,14.69,17.25,2.0595,0.0458,1.6038
23,pink-dark green-pink,2.4621,16.8,17.13,5,7.5,20,161607,17.09,17.38,2.5027,0.0527,2.0271
68,pink-light green-dark green-pink,2.0312,15.46,16.41,5,7.5,20,161633,14.71,16.82,2.0338,0.035,1.6408
7,pink-dark green,1.8421,14.6,15.48,6,7.3,16,red,13.2,16.4,1.9467,0.035,1.4994
30,red-light green-pink,2.1803,16.25,16.86,6,7.3,16,blue,15.12,17.37,2.2574,0.0498,1.7508
73,pink-dark green-pink-red,2.0635,15.87,16.51,6,7.3,16,yellow,15.44,16.61,2.1169,0.0422,1.6204
6,pink-light green,2.435,16.7,15.71,7,7.6,16,161691,14.88,17.01,2.4597,0.045,1.9391
42,light green-dark green-red,1.9122,14.53,16.27,7,7.6,16,white,14.05,16.77,1.9351,0.0454,1.5432
14,dark green-pink,2.0042,15.4,16.9,7,7.6,16,161692,14.9,17.09,2.062,0.0457,1.6172
25,pink-dark green-light green,1.6302,13.88,15.23,8,7.4,16,161645,13.13,15.88,1.681,0.0294,1.3324
13,light green-dark green,2.8059,17.33,18.18,8,7.4,16,161606,17.05,18.1,2.8554,0.0553,2.3005
