TrisCalDate,X.Intercept.,TTris,date,SampleID,TA,Mass,mV,TempInSitu,Salinity_lab,Sampling_Date,mVTris,pH,flag,S,T,Patm,P,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
4/8/2024,-104.4242455,1.41303985,20240408,1,0.002657303,60.2802,-13.9,19.79,35.33,4/8/2024,-77.09322876,7.184706814,8,35.33,19.79,1,0,0.000131164,4031.015917,4044.832631,4031.015917,4044.832631,4031.015917,4044.832846,0.002572452,3.53E-05,2738.962366,2657.303,0.548084487,0.843346794
4/8/2024,-104.4242455,1.41303985,20240408,2,0.002650941,60.1714,-26.8,20.076,35.35,4/8/2024,-77.63866214,7.408902739,8,35.35,20.076,1,0,7.59E-05,2351.765287,2359.782409,2351.765287,2359.782409,2351.765287,2359.782481,0.002510482,5.85E-05,2644.848072,2650.941,0.907193744,1.394834851
4/8/2024,-104.4242455,1.41303985,20240408,3,0.002641691,60.3716,-43.2,16.18,35.31,4/8/2024,-78.00040034,7.69325202,8,35.31,16.18,1,0,4.14E-05,1146.662635,1150.761807,1146.662635,1150.761807,1146.662635,1150.761825,0.00241617,9.33E-05,2550.90343,2641.691,1.431275199,2.221811731
4/8/2024,-104.4242455,1.41303985,20240408,4,0.002644323,59.947,-28.4,20.008,35.23,4/8/2024,-77.64714038,7.436253317,8,35.23,20.008,1,0,7.10E-05,2195.486002,2202.975385,2195.486002,2202.975385,2195.486002,2202.975448,0.002496331,6.16E-05,2628.954223,2644.323,0.956117913,1.470578748
4/8/2024,-104.4242455,1.41303985,20240408,5,0.002642017,60.2337,-35.2,20.095,35.28,4/8/2024,-77.60616222,7.553540887,8,35.28,20.095,1,0,5.31E-05,1645.98516,1651.590499,1645.98516,1651.590499,1645.98516,1651.590534,0.002450756,7.95E-05,2583.424556,2642.017,1.235131445,1.899148859
4/8/2024,-104.4242455,1.41303985,20240408,6,0.002637788,59.7498,-22.4,16.092,35.23,4/8/2024,-77.32214121,7.331675124,8,35.23,16.092,1,0,0.000100125,2765.411567,2775.32638,2765.411567,2775.32638,2765.411567,2775.326489,0.002535421,4.24E-05,2677.927108,2637.788,0.649985624,1.009310305
4/8/2024,-104.4242455,1.41303985,20240408,7,0.0026409,59.8106,-37.6,16.076,35.25,4/8/2024,-77.71779237,7.595308223,8,35.25,16.076,1,0,5.29E-05,1461.232137,1466.464562,1461.232137,1466.464562,1461.232137,1466.464593,0.002458724,7.54E-05,2587.054185,2640.9,1.156277401,1.795502816
4/8/2024,-104.4242455,1.41303985,20240408,8,0.002649127,59.6095,-28.4,16.189,35.23,4/8/2024,-78.01029162,7.43752454,8,35.23,16.189,1,0,7.78E-05,2154.587243,2162.297374,2154.587243,2162.297374,2154.587243,2162.29744,0.002518957,5.39E-05,2650.669686,2649.127,0.827275124,1.284326339
4/8/2024,-104.4242455,1.41303985,20240408,9,0.002649314,60.0568,-42,20.109,35.29,4/8/2024,-77.98203082,7.672407593,8,35.29,20.109,1,0,3.96E-05,1227.376693,1231.553772,1227.376693,1231.553772,1227.376693,1231.553792,0.002402654,0.000102614,2544.861699,2649.314,1.593284315,2.449721852
4/8/2024,-104.4242455,1.41303985,20240408,10,0.002652139,59.9723,-30.3,16.18,35.27,4/8/2024,-78.10496529,7.470769295,8,35.27,16.18,1,0,7.18E-05,1989.934122,1997.054554,1989.934122,1997.054554,1989.934122,1997.054611,0.002511929,5.81E-05,2641.860632,2652.139,0.890883663,1.383025185
4/8/2024,-104.4242455,1.41303985,20240408,11,0.002644707,60.0264,-39.7,20.177,35.26,4/8/2024,-77.7827922,7.631828982,8,35.26,20.177,1,0,4.37E-05,1356.968193,1361.583077,1356.968193,1361.583077,1356.968193,1361.583101,0.002418162,9.42E-05,2556.101242,2644.707,1.463877395,2.25045405
