SampleID,experiment,X.Intercept._mean_formatted,TTris_mean_formatted,date_mean_formatted,TA_mean_formatted,Mass_mean_formatted,mV_mean_formatted,TempInSitu_mean_formatted,Salinity_lab_mean_formatted,mVTris_mean_formatted,pH_mean_formatted,flag_mean_formatted,S_mean_formatted,T_mean_formatted,Patm_mean_formatted,P_mean_formatted,CO2_mean_formatted,fCO2_mean_formatted,pCO2_mean_formatted,fCO2pot_mean_formatted,pCO2pot_mean_formatted,fCO2insitu_mean_formatted,pCO2insitu_mean_formatted,HCO3_mean_formatted,CO3_mean_formatted,DIC_mean_formatted,ALK_mean_formatted,OmegaAragonite_mean_formatted,OmegaCalcite_mean_formatted,...1_mean_formatted,X_mean_formatted
12,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,59.83 ± 0.09,-22.23 ± 3.27,16.03 ± 0.05,35.58 ± 0.25,-76.32 ± 1.10,7.32 ± 0.05,8.00 ± 0.00,35.58 ± 0.25,16.03 ± 0.05,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2759.97 ± 411.56,2769.88 ± 413.04,2759.97 ± 411.56,2769.88 ± 413.04,2759.97 ± 411.56,2769.88 ± 413.04,0.00 ± 0.00,0.00 ± 0.00,2596.93 ± 111.76,2554.86 ± 91.82,0.62 ± 0.05,0.96 ± 0.07,NaN ± NA,NaN ± NA
1,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,60.08 ± 0.26,-23.23 ± 8.33,19.82 ± 0.03,35.58 ± 0.25,-76.11 ± 1.04,7.34 ± 0.14,8.00 ± 0.00,35.58 ± 0.25,19.82 ± 0.03,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2810.13 ± 1073.56,2819.75 ± 1077.25,2810.13 ± 1073.56,2819.75 ± 1077.25,2810.13 ± 1073.56,2819.75 ± 1077.25,0.00 ± 0.00,0.00 ± 0.00,2580.27 ± 144.11,2558.80 ± 91.37,0.76 ± 0.19,1.17 ± 0.29,NaN ± NA,NaN ± NA
6,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,59.75 ± 0.08,-25.80 ± 2.96,16.24 ± 0.13,35.55 ± 0.29,-76.34 ± 1.03,7.38 ± 0.05,8.00 ± 0.00,35.55 ± 0.29,16.24 ± 0.13,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2378.30 ± 335.83,2386.80 ± 337.05,2378.30 ± 335.83,2386.80 ± 337.05,2378.30 ± 335.83,2386.80 ± 337.06,0.00 ± 0.00,0.00 ± 0.00,2569.30 ± 99.72,2550.33 ± 83.85,0.71 ± 0.06,1.11 ± 0.09,NaN ± NA,NaN ± NA
2,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,60.10 ± 0.10,-31.30 ± 4.09,20.03 ± 0.05,35.58 ± 0.23,-76.45 ± 1.23,7.48 ± 0.06,8.00 ± 0.00,35.58 ± 0.23,20.03 ± 0.05,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1937.05 ± 371.48,1943.65 ± 372.75,1937.05 ± 371.48,1943.65 ± 372.75,1937.05 ± 371.48,1943.65 ± 372.75,0.00 ± 0.00,0.00 ± 0.00,2525.38 ± 112.03,2556.39 ± 89.88,1.02 ± 0.10,1.57 ± 0.15,NaN ± NA,NaN ± NA
8,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,59.97 ± 0.38,-32.03 ± 3.46,16.21 ± 0.02,35.55 ± 0.29,-76.54 ± 1.42,7.49 ± 0.05,8.00 ± 0.00,35.55 ± 0.29,16.21 ± 0.02,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1838.26 ± 291.20,1844.83 ± 292.25,1838.26 ± 291.20,1844.83 ± 292.25,1838.26 ± 291.20,1844.83 ± 292.25,0.00 ± 0.00,0.00 ± 0.00,2535.95 ± 102.62,2554.22 ± 89.61,0.90 ± 0.10,1.40 ± 0.15,NaN ± NA,NaN ± NA
4,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,60.12 ± 0.15,-32.50 ± 6.67,19.94 ± 0.06,35.10 ± 0.61,-76.44 ± 1.24,7.50 ± 0.10,8.00 ± 0.00,35.10 ± 0.61,19.94 ± 0.06,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1873.20 ± 481.01,1879.60 ± 482.65,1873.20 ± 481.01,1879.60 ± 482.65,1873.20 ± 481.01,1879.60 ± 482.65,0.00 ± 0.00,0.00 ± 0.00,2519.81 ± 114.27,2555.76 ± 84.19,1.06 ± 0.21,1.63 ± 0.32,NaN ± NA,NaN ± NA
10,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,60.08 ± 0.28,-33.03 ± 2.80,16.34 ± 0.21,35.53 ± 0.23,-76.68 ± 1.40,7.51 ± 0.04,8.00 ± 0.00,35.53 ± 0.23,16.34 ± 0.21,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1760.05 ± 227.04,1766.33 ± 227.85,1760.05 ± 227.04,1766.33 ± 227.85,1760.05 ± 227.04,1766.33 ± 227.85,0.00 ± 0.00,0.00 ± 0.00,2533.11 ± 104.45,2557.95 ± 90.33,0.94 ± 0.05,1.46 ± 0.08,NaN ± NA,NaN ± NA
5,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,60.27 ± 0.11,-36.20 ± 2.00,20.10 ± 0.02,35.57 ± 0.27,-76.52 ± 1.13,7.56 ± 0.03,8.00 ± 0.00,35.57 ± 0.27,20.10 ± 0.02,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1555.28 ± 139.18,1560.57 ± 139.65,1555.28 ± 139.18,1560.57 ± 139.65,1555.28 ± 139.18,1560.57 ± 139.65,0.00 ± 0.00,0.00 ± 0.00,2487.44 ± 91.95,2549.15 ± 85.86,1.22 ± 0.06,1.87 ± 0.09,NaN ± NA,NaN ± NA
11,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,60.21 ± 0.17,-39.90 ± 0.72,20.10 ± 0.07,35.56 ± 0.27,-76.56 ± 1.25,7.63 ± 0.01,8.00 ± 0.00,35.56 ± 0.27,20.10 ± 0.07,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1325.48 ± 48.93,1329.99 ± 49.10,1325.48 ± 48.93,1329.99 ± 49.10,1325.48 ± 48.93,1329.99 ± 49.10,0.00 ± 0.00,0.00 ± 0.00,2465.94 ± 86.64,2551.29 ± 88.23,1.40 ± 0.06,2.15 ± 0.09,NaN ± NA,NaN ± NA
7,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,59.89 ± 0.12,-40.13 ± 3.04,16.23 ± 0.17,35.57 ± 0.30,-76.28 ± 1.44,7.63 ± 0.04,8.00 ± 0.00,35.57 ± 0.30,16.23 ± 0.17,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1304.55 ± 174.09,1309.21 ± 174.72,1304.55 ± 174.09,1309.21 ± 174.72,1304.55 ± 174.09,1309.21 ± 174.72,0.00 ± 0.00,0.00 ± 0.00,2482.26 ± 100.80,2548.76 ± 86.64,1.21 ± 0.08,1.88 ± 0.12,NaN ± NA,NaN ± NA
9,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,59.95 ± 0.14,-44.27 ± 3.26,20.29 ± 0.18,35.56 ± 0.25,-76.60 ± 1.36,7.70 ± 0.05,8.00 ± 0.00,35.56 ± 0.25,20.29 ± 0.18,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1123.94 ± 169.83,1127.76 ± 170.41,1123.94 ± 169.83,1127.76 ± 170.41,1123.94 ± 169.83,1127.76 ± 170.41,0.00 ± 0.00,0.00 ± 0.00,2476.29 ± 118.38,2592.95 ± 101.70,1.67 ± 0.10,2.57 ± 0.15,NaN ± NA,NaN ± NA
3,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,60.05 ± 0.43,-45.10 ± 2.07,16.05 ± 0.11,35.43 ± 0.34,-76.63 ± 1.34,7.72 ± 0.03,8.00 ± 0.00,35.43 ± 0.34,16.05 ± 0.11,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1049.69 ± 97.79,1053.44 ± 98.14,1049.69 ± 97.79,1053.44 ± 98.14,1049.69 ± 97.79,1053.44 ± 98.14,0.00 ± 0.00,0.00 ± 0.00,2456.85 ± 85.65,2554.01 ± 84.06,1.45 ± 0.10,2.24 ± 0.15,NaN ± NA,NaN ± NA
14,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,60.13 ± 0.12,-52.50 ± 5.80,16.22 ± 0.12,35.58 ± 0.21,-76.16 ± 1.36,7.84 ± 0.11,8.00 ± 0.00,35.58 ± 0.21,16.22 ± 0.12,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,775.02 ± 182.60,777.79 ± 183.25,775.02 ± 182.60,777.79 ± 183.25,775.02 ± 182.60,777.79 ± 183.25,0.00 ± 0.00,0.00 ± 0.00,2404.55 ± 59.71,2556.34 ± 95.34,1.92 ± 0.49,2.99 ± 0.76,NaN ± NA,NaN ± NA
17,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,59.90 ± 0.25,-52.97 ± 6.64,20.02 ± 0.18,35.55 ± 0.27,-76.31 ± 1.48,7.85 ± 0.12,8.00 ± 0.00,35.55 ± 0.27,20.02 ± 0.18,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,767.72 ± 205.66,770.33 ± 206.36,767.72 ± 205.66,770.33 ± 206.36,767.72 ± 205.66,770.33 ± 206.36,0.00 ± 0.00,0.00 ± 0.00,2373.42 ± 46.07,2555.45 ± 90.23,2.26 ± 0.67,3.47 ± 1.03,NaN ± NA,NaN ± NA
19,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,59.88 ± 0.14,-54.60 ± 4.30,20.22 ± 0.12,35.57 ± 0.29,-75.77 ± 1.03,7.88 ± 0.08,8.00 ± 0.00,35.57 ± 0.29,20.22 ± 0.12,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,708.61 ± 130.77,711.01 ± 131.22,708.61 ± 130.77,711.01 ± 131.22,708.61 ± 130.77,711.01 ± 131.22,0.00 ± 0.00,0.00 ± 0.00,2362.23 ± 65.20,2555.46 ± 86.33,2.36 ± 0.42,3.62 ± 0.65,NaN ± NA,NaN ± NA
