,X,TrisCalDate,X.Intercept.,TTris,date,SampleID,TA,Mass,mV,TempInSitu,Salinity_lab,Sampling_Date,mVTris,pH,flag,S,T,Patm,P,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
1,1,5/20/2024,-102.3527387,1.626227068,20240521,TANK1,0.002282773,59.6466,-20.8,15.8,33.67,5/21/2024,-68.52721565,7.404826574,8,33.67,15.8,1,0,7.42E-05,2014.977281,2022.222282,2014.977281,2022.222282,2014.977281,2022.22234,0.002181188,4.12E-05,2296.574183,2282.773,0.635653982,0.99033837
2,2,5/20/2024,-102.3527387,1.626227068,20240521,TANK2,0.002315221,59.9102,-23.8,16.2,33.77,5/21/2024,-68.36459294,7.456345393,8,33.77,16.2,1,0,6.58E-05,1807.887088,1814.353172,1807.887088,1814.353172,1807.887088,1814.353218,0.002198223,4.75E-05,2311.530982,2315.221,0.734662618,1.143342786
3,3,5/20/2024,-102.3527387,1.626227068,20240521,TANK3,0.002322566,60.2816,-17.9,19.6,33.78,5/21/2024,-68.36459294,7.355246272,8,33.78,19.6,1,0,7.76E-05,2353.112088,2361.181493,2353.112088,2361.181493,2353.112088,2361.181566,0.002216773,4.32E-05,2337.605381,2322.566,0.675435183,1.042572003
4,4,5/20/2024,-102.3527387,1.626227068,20240521,TANK4,0.002316799,60.4098,-25.5,19.7,33.74,5/21/2024,-68.36459294,7.485416078,8,33.74,19.7,1,0,5.64E-05,1713.093361,1718.956437,1713.093361,1718.956437,1713.093361,1718.956476,0.002176174,5.74E-05,2289.943554,2316.799,0.897843815,1.385626616
5,5,5/20/2024,-102.3527387,1.626227068,20240521,TANK5,0.002311654,60.0197,-12.9,16.2,33.69,5/21/2024,-68.36459294,7.269352819,8,33.69,16.2,1,0,0.000102917,2827.392048,2837.515943,2827.392048,2837.515943,2827.392048,2837.516057,0.00223452,3.14E-05,2368.788884,2311.654,0.484790907,0.754588969
6,6,5/20/2024,-102.3527387,1.626227068,20240521,TANK6,0.002320114,59.6509,-25.7,16,33.75,5/21/2024,-68.36459294,7.488865874,8,33.75,16,1,0,6.12E-05,1673.005334,1679.003259,1673.005334,1679.003259,1673.005334,1679.003299,0.002195226,5.07E-05,2307.208771,2320.114,0.78392981,1.22061361
7,7,5/20/2024,-102.3527387,1.626227068,20240521,TANK7,0.002309095,60.1383,-33.6,19.8,33.71,5/21/2024,-68.52721565,7.624370471,8,33.71,19.8,1,0,3.98E-05,1212.667048,1216.809905,1212.667048,1216.809905,1212.667048,1216.809924,0.002119762,7.72E-05,2236.79264,2309.095,1.208657032,1.86493123
8,8,5/20/2024,-102.3527387,1.626227068,20240521,TANK8,0.002309518,59.8458,-36.6,19.7,33.71,5/21/2024,-68.36459294,7.675595009,8,33.71,19.7,1,0,3.51E-05,1066.656443,1070.304422,1066.656443,1070.304422,1066.656443,1070.304437,0.002099293,8.57E-05,2220.137605,2309.518,1.341283107,2.070101577
9,9,5/20/2024,-102.3527387,1.626227068,20240521,TANK9,0.002314786,60.0716,-20.7,19.9,33.74,5/21/2024,-68.52721565,7.403265951,8,33.74,19.9,1,0,6.84E-05,2091.788873,2098.933278,2091.788873,2098.933278,2091.788873,2098.933336,0.002196461,4.83E-05,2313.220233,2314.786,0.756252908,1.166511851
10,10,5/20/2024,-102.3527387,1.626227068,20240521,TANK10,0.002305845,59.9405,-18.6,20,33.71,5/21/2024,-68.20197024,7.366984068,8,33.71,20,1,0,7.43E-05,2275.896261,2283.66142,2275.896261,2283.66142,2275.896261,2283.661488,0.002196623,4.46E-05,2315.477829,2305.845,0.698187855,1.076732956
