,TrisCalDate,(Intercept),TTris,tank,date,researcher,start_time,end_time,mV,TempInSitu,Salinity_lab,expected_pH,expected_temp,Sampling_Date,mVTris,pH
55,4/1/2024,-134.1370716,1.639893807,1,20240402,TD,15:33,16:20,-38.4,19.526,30,7.2,20,4/2/2024,-102.1165051,7.158772031
56,4/1/2024,-134.1370716,1.639893807,2,20240402,TD,15:33,16:20,-34.4,20.08,30,7.4,20,4/2/2024,-101.208004,7.090064161
57,4/1/2024,-134.1370716,1.639893807,3,20240402,TD,15:33,16:20,-58,16.16,30,7.7,16,4/2/2024,-107.6363877,7.499715179
58,4/1/2024,-134.1370716,1.639893807,4,20240402,TD,15:33,16:20,-47.4,19.19,30,7.3,20,4/2/2024,-102.6675094,7.31389645
59,4/1/2024,-134.1370716,1.639893807,5,20240402,TD,15:33,16:20,-44.9,20.015,30,7.5,20,4/2/2024,-101.3145971,7.270549333
60,4/1/2024,-134.1370716,1.639893807,6,20240402,TD,15:33,16:20,-42.2,17.023,30,7.3,16,4/2/2024,-106.2211593,7.224445205
61,4/1/2024,-134.1370716,1.639893807,7,20240402,TD,15:33,16:20,-54.6,17.033,30,7.6,16,4/2/2024,-106.2047604,7.439802506
62,4/1/2024,-134.1370716,1.639893807,8,20240402,TD,15:33,16:20,-37.3,16.782,30,7.4,16,4/2/2024,-106.6163737,7.139282371
63,4/1/2024,-134.1370716,1.639893807,9,20240402,TD,15:33,16:20,-70.9,19.998,30,7.7,20,4/2/2024,-101.3424753,7.717544258
64,4/1/2024,-134.1370716,1.639893807,10,20240402,TD,15:33,16:20,-47.4,16.734,30,7.5,16,4/2/2024,-106.6950886,7.314863784
65,4/1/2024,-134.1370716,1.639893807,11,20240402,TD,15:33,16:20,-60.5,19.986,30,7.6,20,4/2/2024,-101.362154,7.538763202
66,4/1/2024,-134.1370716,1.639893807,12,20240402,TD,15:33,16:20,-70.9,16.307,30,7.2,16,4/2/2024,-107.3953233,7.724174704
67,4/1/2024,-134.1370716,1.639893807,13,20240402,TD,15:33,16:20,-85.5,19.881,30,8,20,4/2/2024,-101.5343428,7.96886146
68,4/1/2024,-134.1370716,1.639893807,14,20240402,TD,15:33,16:20,-77.7,16.97,30,7.8,16,4/2/2024,-106.3080737,7.841130511
69,4/1/2024,-134.1370716,1.639893807,15,20240402,TD,15:33,16:20,-83.8,16.218,30,7.9,16,4/2/2024,-107.5412738,7.949003672
70,4/1/2024,-134.1370716,1.639893807,17,20240402,TD,15:33,16:20,-80.9,19.961,30,7.8,20,4/2/2024,-101.4031513,7.889553099
71,4/1/2024,-134.1370716,1.639893807,18,20240402,TD,15:33,16:20,-84.1,16.703,30,8,16,4/2/2024,-106.7459253,7.952990205
72,4/1/2024,-134.1370716,1.639893807,19,20240402,TD,15:33,16:20,-77.6,20.029,30,7.9,20,4/2/2024,-101.2916385,7.832660779
91,4/1/2024,-134.1370716,1.639893807,1,20240403,TD,19:33,20:20,-39.3,19.734,30,7.2,20,4/3/2024,-101.7754072,7.174275318
92,4/1/2024,-134.1370716,1.639893807,2,20240403,TD,19:33,20:20,-36.5,19.984,30,7.4,20,4/3/2024,-101.3654338,7.126140216
93,4/1/2024,-134.1370716,1.639893807,3,20240403,TD,19:33,20:20,-54.5,16.1,30,7.7,16,4/3/2024,-107.7347813,7.438791261
94,4/1/2024,-134.1370716,1.639893807,4,20240403,TD,19:33,20:20,-45.3,19.943,30,7.3,20,4/3/2024,-101.4326694,7.277450067
95,4/1/2024,-134.1370716,1.639893807,5,20240403,TD,19:33,20:20,-36,19.988,30,7.5,20,4/3/2024,-101.3588742,7.11754468
96,4/1/2024,-134.1370716,1.639893807,6,20240403,TD,19:33,20:20,-42.6,16.563,30,7.3,16,4/3/2024,-106.9755105,7.23142468
97,4/1/2024,-134.1370716,1.639893807,7,20240403,TD,19:33,20:20,-62.7,16.454,30,7.6,16,4/3/2024,-107.1542589,7.581217386
98,4/1/2024,-134.1370716,1.639893807,8,20240403,TD,19:33,20:20,-45.9,16.305,30,7.4,16,4/3/2024,-107.3986031,7.288897017
99,4/1/2024,-134.1370716,1.639893807,9,20240403,TD,19:33,20:20,-73.5,20.203,30,7.7,20,4/3/2024,-101.006297,7.761834109
100,4/1/2024,-134.1370716,1.639893807,10,20240403,TD,19:33,20:20,-53.5,16.352,30,7.5,16,4/3/2024,-107.3215281,7.421189069
101,4/1/2024,-134.1370716,1.639893807,11,20240403,TD,19:33,20:20,-57.5,20.04,30,7.6,20,4/3/2024,-101.2735997,7.487128396
102,4/1/2024,-134.1370716,1.639893807,12,20240403,TD,19:33,20:20,-38.6,15.926,30,7.2,16,4/3/2024,-108.0201228,7.16172234
103,4/1/2024,-134.1370716,1.639893807,13,20240403,TD,19:33,20:20,-84.3,19.999,30,8,20,4/3/2024,-101.3408354,7.94791317
104,4/1/2024,-134.1370716,1.639893807,14,20240403,TD,19:33,20:20,-81.3,16.349,30,7.8,16,4/3/2024,-107.3264478,7.905150335
105,4/1/2024,-134.1370716,1.639893807,15,20240403,TD,19:33,20:20,-84.3,16.03,30,7.9,16,4/3/2024,-107.8495739,7.958193413
106,4/1/2024,-134.1370716,1.639893807,17,20240403,TD,19:33,20:20,-81.3,19.999,30,7.8,20,4/3/2024,-101.3408354,7.896337628
107,4/1/2024,-134.1370716,1.639893807,18,20240403,TD,19:33,20:20,-84.6,16.257,30,8,16,4/3/2024,-107.477318,7.962836214
108,4/1/2024,-134.1370716,1.639893807,19,20240403,TD,19:33,20:20,-82.3,20.043,30,7.9,20,4/3/2024,-101.26868,7.913419054
145,4/4/2024,-130.71551,1.414698326,1,20240404,TD,15:30,16:30,-38,19.563,30,7.2,20,4/4/2024,-103.0397667,7.134947228
146,4/4/2024,-130.71551,1.414698326,2,20240404,TD,15:30,16:30,-48,19.902,30,7.4,20,4/4/2024,-102.560184,7.305663025
