date,TTris,mVTris
20240401,15.8,-108.1
20240401,16.39,-107.5
20240401,18.4,-104
20240401,20.3,-100.4
20240401,21.79,-98.7
20240404,21.355,-100.8
20240404,20.1,-102.3
20240404,19.079,-103.4
20240404,18.004,-105.1
20240404,17.056,-106.3
20240404,15.83,-108.5
20240404,14.702,-110.2
20240404,13.844,-111.2
20240404,12.804,-112.7
20240404,11.823,-113.8
20240408,21.436,-74.1
20240408,19.63,-76.6
20240408,18.624,-78.2
20240408,17.649,-79.5
20240408,16.603,-81
20240408,15.656,-82.3
20240408,14.636,-83.8
20240408,13.602,-85.2
20240408,12.583,-86.6
20240408,11.673,-87.9
20240411,21.162,-72.3
20240411,20.514,-74.4
20240411,19.607,-76.5
20240411,18.591,-78.2
20240411,17.54,-79.7
20240411,16.715,-81.2
20240411,15.72,-82.5
20240411,14.764,-83.9
20240411,13.713,-85.6
20240411,12.698,-86.8
20240411,11.671,-87.9
20240415,21.16,-74.8
20240415,20.589,-75.4
20240415,19.482,-77.1
20240415,18.692,-78.4
20240415,17.804,-79.5
20240415,16.698,-81.1
20240415,15.876,-82.3
20240415,14.694,-83.9
20240415,13.694,-85.3
20240415,12.677,-87
20240418,21.303,-75.2
20240418,20.64,-75.7
20240418,19.605,-77.1
20240418,18.775,-78.2
20240418,17.783,-79.6
20240418,16.676,-80.9
20240418,15.742,-82.5
20240418,14.758,-84
20240418,13.725,-85.4
20240418,12.911,-86.8
20240418,12.038,-88
