"","date","ID","tank","sample_type","TA","water_mass","...7","TA_initial","mean.blanks","pH_treatment","temp_treatment","volume","wet_weight","TA.start","TA.stop","deltaTA","timediff","umol.cm2.hr"
"1",20240604,"26","2","26",2387.265686,59.7633,20,2435.18130033333,8.43740833333322,7.4,20,0.115,2.0852,2024-07-28 12:38:00,2024-07-28 14:03:00,39.4782059999998,1.41666666666667,0.78765081621455
"2",20240604,"27","2","27",2439.669229,59.7828,20,2435.18130033333,8.43740833333322,7.4,20,0.115,2.3067,2024-07-28 12:40:00,2024-07-28 14:10:00,-12.9253370000001,1.5,-0.220166485870871
"3",20240604,"67","2","67",2437.859685,60.4461,20,2435.18130033333,8.43740833333322,7.4,20,0.115,2.2638,2024-07-28 12:39:00,2024-07-28 14:02:00,-11.1157929999999,1.38333333333333,-0.2092026893487
"4",20240521,"1","12",NA,2415.697793,59.889,16,2408.11167933333,-7.85969766666631,7.2,16,0.1145,2.6701,2024-07-28 00:23:00,2024-07-28 01:56:00,0.273584000000028,1.55,0.00387909866852918
"5",20240521,"60","12",NA,2418.514083,59.8881,16,2408.11167933333,-7.85969766666631,7.2,16,0.1145,2.146,2024-07-28 00:25:00,2024-07-28 01:55:00,-2.54270600000018,1.5,-0.0463526456857753
"6",20240521,"75","12",NA,2431.942891,60.0747,16,2408.11167933333,-7.85969766666631,7.2,16,0.115,1.6288,2024-07-28 00:26:00,2024-07-28 01:51:00,-15.9715140000003,1.41666666666667,-0.407945700786584
"7",20240528,"56","1",NA,2441.606049,60.2726,20,2429.844726,13.873349,7.2,20,0.115,2.1513,2024-07-28 12:30:00,2024-07-28 14:01:00,-25.6346720000001,1.51666666666667,-0.463050498267597
"8",20240528,"64","1",NA,2455.67215,59.9341,20,2429.844726,13.873349,7.2,20,0.115,2.6523,2024-07-28 12:32:00,2024-07-28 14:05:00,-39.700773,1.55,-0.569162567044671
"9",20240528,"69","1",NA,2452.555372,59.9824,20,2429.844726,13.873349,7.2,20,0.115,1.6639,2024-07-28 12:33:00,2024-07-28 14:06:00,-36.583995,1.55,-0.836033960366142
"10",20240528,"3","13",NA,2423.066555,59.9633,20,2429.74500666667,13.7736296666667,8,20,0.115,2.3898,2024-07-28 16:00:00,2024-07-28 17:27:00,-7.09517800000003,1.45,-0.120677261515176
"11",20240528,"15","13",NA,2411.991425,60.1519,20,2429.74500666667,13.7736296666667,8,20,0.115,1.7951,2024-07-28 16:02:00,2024-07-28 17:30:00,3.97995199999968,1.46666666666667,0.0890942088564254
"12",20240528,"59","13",NA,2409.548232,60.4729,20,2429.74500666667,13.7736296666667,8,20,0.115,2.2136,2024-07-28 16:05:00,2024-07-28 17:31:00,6.42314499999975,1.43333333333333,0.11931446253104
